bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,6384.300,0.44,7887.000043410808
1,OK,86.300,0.44,15503.800008445978
2,OK,176.800,0.44,15640.099998563528
3,OK,1183.300,0.44,14594.700012821704
4,OK,305.700,0.44,15579.500002786517
5,OK,153.500,0.44,15641.600009985268
6,OK,84.100,0.44,15812.799974810332
7,OK,68.400,0.44,15944.299986585975
8,OK,64.100,0.44,15894.200012553483
9,OK,66.400,0.44,15892.200055532157
10,OK,60.500,0.44,15878.30000789836
11,OK,64.700,0.44,15966.599981766194
12,OK,52.500,0.44,15929.599991068244
13,OK,72.100,0.44,15868.999995291233
14,OK,73.300,0.44,15961.600001901388
15,OK,63.200,0.44,15838.39999511838
16,OK,65.700,0.44,15948.699961882085
17,OK,69.100,0.44,15789.999975822866
18,OK,63.400,0.44,15985.399950295687
19,OK,70.800,0.44,15887.000015936792
20,OK,67.100,0.44,15868.499991483986
21,OK,91.400,0.44,15828.599978704005
22,OK,71.700,0.44,15856.600017286837
23,OK,66.800,0.44,15931.80000782013
24,OK,64.600,0.44,15955.999959260225
25,OK,77.800,0.44,15882.499981671572
26,OK,66.600,0.44,15852.299984544516
27,OK,68.900,0.44,15976.499998942018
28,OK,76.100,0.44,15882.999985478818
29,OK,66.100,0.44,15892.600000370294
30,OK,57.500,0.44,15928.79998497665
31,OK,65.700,0.44,15942.300029564649
32,OK,60.300,0.44,15748.10000602156
33,OK,64.700,0.44,16002.300020772964
34,OK,65.100,0.44,15823.099995031953
35,OK,72.200,0.44,15955.40001289919
36,OK,62.500,0.44,15864.199958741665
37,OK,77.700,0.44,15929.399989545345
38,OK,79.300,0.44,15837.999992072582
39,OK,62.300,0.44,15910.699963569641
40,OK,69.200,0.44,15930.499997921288
41,OK,81.000,0.44,15864.900022279471
42,OK,80.000,0.44,15934.80003066361
43,OK,64.500,0.44,15783.899987582117
44,OK,87.900,0.44,15874.999982770532
45,OK,70.800,0.44,15867.099980823696
46,OK,79.300,0.44,15891.499991994351
47,OK,56.400,0.44,15911.500027868897
48,OK,77.100,0.44,15878.0999481678
49,OK,55.200,0.44,15935.400035232306
50,OK,64.600,0.44,15909.300011117011
51,OK,74.600,0.44,15854.500001296401
52,OK,65.200,0.44,15988.299972377717
53,OK,104.200,0.44,15793.600003235042
