bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,7736.300,0.44,13428.499980363995
1,OK,178.700,0.44,17793.90004230663
2,OK,145.400,0.44,17301.099956966937
3,OK,95.300,0.44,11638.499971013516
4,OK,104.400,0.44,15837.099985219538
5,OK,100.500,0.44,16700.899985153228
6,OK,129.900,0.44,14951.599994674325
7,OK,126.600,0.44,16002.099961042404
8,OK,134.400,0.44,15713.299973867834
9,OK,251.800,0.44,15501.700050663203
10,OK,85.800,0.44,16234.999988228083
11,OK,184.700,0.44,15416.399983223528
12,OK,115.800,0.44,15965.100028552115
13,OK,199.400,0.44,15272.999997250736
14,OK,154.400,0.44,16014.199994970113
15,OK,193.000,0.44,19643.19997932762
16,OK,145.600,0.44,11437.400011345744
17,OK,516.000,0.44,15394.699992612004
18,OK,105.300,0.44,15862.400003243238
19,OK,134.300,0.44,20252.899965271354
20,OK,245.200,0.44,11154.500010889024
21,OK,161.900,0.44,15753.89999197796
22,OK,88.400,0.44,15863.900014664978
23,OK,88.600,0.44,15854.400000534952
24,OK,90.600,0.44,15907.90000045672
25,OK,81.300,0.44,15883.300045970827
26,OK,83.000,0.44,15903.299965430051
27,OK,108.800,0.44,15831.800003070384
28,OK,83.800,0.44,15860.999992582947
29,OK,77.700,0.44,21185.800025705248
30,OK,128.300,0.44,11482.900008559227
31,OK,119.900,0.44,17492.00001358986
32,OK,136.300,0.44,14773.699978832155
33,OK,124.100,0.44,14129.200018942356
34,OK,121.800,0.44,15954.100003000349
35,OK,147.200,0.44,15897.899982519448
36,OK,146.900,0.44,15792.999998666346
37,OK,1059.200,0.44,14547.90000570938
38,OK,280.600,0.44,15877.500001806766
39,OK,139.400,0.44,15334.900002926588
40,OK,119.400,0.44,15889.099973719567
41,OK,127.100,0.44,15700.699994340539
42,OK,120.300,0.44,15924.000006634742
43,OK,145.900,0.44,15780.5000199005
44,OK,133.500,0.44,15699.799987487495
45,OK,132.300,0.44,15766.099968459457
46,OK,123.000,0.44,15828.099974896759
47,OK,147.900,0.44,15771.70001110062
48,OK,124.900,0.44,15823.3999973163
49,OK,128.700,0.44,15829.799987841398
50,OK,135.300,0.44,15795.099956449121
51,OK,122.100,0.44,15805.000031832606
52,OK,122.900,0.44,15815.299993846565
53,OK,121.700,0.44,15772.200014907867
54,OK,126.300,0.44,15843.200031667948
55,OK,191.600,0.44,15696.000016760081
56,OK,119.100,0.44,16076.8999485299
57,OK,149.800,0.44,15490.500023588538
58,OK,137.100,0.44,15912.199974991381
59,OK,162.000,0.44,15946.60000409931
60,OK,125.000,0.44,15559.300023596734
61,OK,146.600,0.44,15894.799958914518
62,OK,197.000,0.44,15516.299987211823
63,OK,118.700,0.44,15829.799987841398
64,OK,133.700,0.44,15848.49995560944
65,OK,117.700,0.44,15770.19999967888
66,OK,133.600,0.44,15750.99996989593
67,OK,127.000,0.44,23922.2000236623
68,OK,117.400,0.44,7716.899970546365
69,OK,255.400,0.44,15759.500034619123
70,OK,128.000,0.44,15711.400017607957
71,OK,126.600,0.44,15836.599981412292
72,OK,128.000,0.44,17112.39997530356
73,OK,134.000,0.44,14482.600032351911
74,OK,147.100,0.44,15797.399973962456
75,OK,142.500,0.44,15785.199997480959
76,OK,152.400,0.44,15741.400013212115
