bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3814.000,0.44,15440.199989825487
1,OK,218.700,0.44,15699.399984441698
2,OK,137.600,0.44,15868.899994529784
3,OK,70.900,0.44,15790.99998343736
4,OK,71.700,0.44,15602.600004058331
5,OK,96.900,0.44,15887.599962297827
6,OK,122.600,0.44,15862.900007050484
7,OK,90.300,0.44,15863.300010096282
8,OK,126.300,0.44,15828.799980226904
9,OK,171.100,0.44,16037.900000810623
10,OK,144.000,0.44,15572.500007692724
11,OK,141.200,0.44,15891.999995801598
12,OK,117.600,0.44,15804.700029548258
13,OK,140.400,0.44,15754.599997308105
14,OK,200.500,0.44,15676.399983931333
15,OK,151.000,0.44,15926.599968224764
16,OK,150.000,0.44,15577.60004652664
17,OK,166.200,0.44,16219.09998357296
18,OK,195.900,0.44,15460.400027222931
19,OK,149.200,0.44,15750.300022773445
20,OK,147.900,0.44,15991.20005266741
21,OK,173.600,0.44,15460.199967492372
22,OK,123.700,0.44,15635.099960491061
23,OK,80.200,0.44,15932.500013150275
24,OK,75.400,0.44,15847.400005441159
25,OK,76.100,0.44,15966.000035405159
26,OK,55.500,0.44,16302.599979098886
27,OK,77.400,0.44,15411.500004120171
28,OK,59.400,0.44,16054.999956395477
29,OK,79.600,0.44,15844.19998107478
30,OK,75.400,0.44,15795.900020748377
31,OK,103.700,0.44,15873.399970587343
32,OK,80.000,0.44,15954.400005284697
33,OK,105.000,0.44,16101.399960462004
34,OK,101.700,0.44,15554.199984762818
35,OK,73.300,0.44,16127.899987623096
36,OK,72.500,0.44,15926.200023386627
37,OK,79.600,0.44,15678.600000683218
38,OK,86.100,0.44,15690.599975641817
39,OK,91.100,0.44,15998.699993360788
40,OK,114.500,0.44,15753.199986647815
41,OK,69.900,0.44,16342.399991117418
42,OK,136.200,0.44,15502.399997785687
43,OK,151.200,0.44,15798.999986145645
44,OK,301.100,0.44,16185.799962840974
45,OK,271.000,0.44,15247.100032866001
46,OK,186.300,0.44,15694.400004576892
47,OK,169.800,0.44,15746.099990792572
48,OK,196.100,0.44,15997.099981177598
49,OK,196.800,0.44,15725.100005511194
50,OK,197.000,0.44,15560.599975287914
51,OK,243.700,0.44,15509.599994402379
52,OK,201.500,0.44,15626.899956259876
53,OK,250.100,0.44,15359.200013335794
54,OK,97.000,0.44,15973.000030498952
55,OK,76.800,0.44,15824.400004930794
56,OK,62.500,0.44,16217.100026551634
57,OK,64.600,0.44,15640.500001609325
58,OK,77.900,0.44,16140.299965627491
59,OK,99.000,0.44,15607.700042892247
60,OK,81.500,0.44,16108.800016809255
61,OK,103.200,0.44,15917.599957901984
62,OK,118.900,0.44,15858.899976592511
63,OK,162.900,0.44,15450.399951077998
64,OK,188.200,0.44,16053.500003181398
65,OK,199.300,0.44,15510.700002778322
66,OK,204.300,0.44,16183.800005819649
67,OK,190.900,0.44,15296.400000806898
68,OK,197.500,0.44,15789.199969731271
69,OK,193.400,0.44,15422.00002586469
70,OK,95.300,0.44,15668.799984268844
71,OK,75.500,0.44,15887.699963059276
72,OK,53.900,0.44,15925.80002034083
73,OK,56.800,0.44,15927.899978123605
74,OK,59.300,0.44,15868.399990722537
75,OK,59.900,0.44,15953.499998431653
76,OK,82.700,0.44,15869.199996814132
77,OK,92.500,0.44,15833.300014492124
78,OK,66.500,0.44,15935.599978547543
79,OK,65.800,0.44,16148.300026543438
80,OK,146.000,0.44,16001.900017727166
81,OK,153.900,0.44,15474.800020456314
82,OK,111.100,0.44,16117.00002104044
83,OK,181.700,0.44,15497.200016397983
84,OK,148.600,0.44,15773.899969644845
85,OK,235.700,0.44,15540.099993813783
86,OK,110.900,0.44,15760.399983264506
87,OK,62.700,0.44,15885.100001469254
88,OK,79.000,0.44,15940.39995688945
89,OK,59.300,0.44,16065.0999750942
90,OK,58.700,0.44,15700.200048740953
91,OK,60.100,0.44,15962.100005708635
92,OK,71.900,0.44,15882.100036833435
93,OK,117.300,0.44,15935.099974740297
94,OK,93.300,0.44,16125.400026794523
95,OK,146.500,0.44,15497.50001868233
96,OK,109.700,0.44,16037.099994719028
97,OK,77.200,0.44,15658.400021493435
98,OK,75.200,0.44,15838.599996641278
99,OK,55.100,0.44,15913.000039290637
100,OK,53.100,0.44,16176.500008441508
101,OK,73.200,0.44,15769.699995871633
102,OK,60.000,0.44,15619.600017089397
103,OK,79.400,0.44,16231.699963100255
104,OK,57.400,0.44,15912.100032437593
105,OK,223.900,0.44,15319.099999032915
106,OK,71.900,0.44,15919.700032100081
107,OK,72.800,0.44,16158.3999870345
108,OK,58.300,0.44,15926.899970509112
109,OK,82.700,0.44,15828.999981749803
110,OK,82.100,0.44,15922.499995213002
111,OK,88.900,0.44,15594.800002872944
112,OK,78.900,0.44,15915.50000011921
113,OK,78.000,0.44,15761.29999011755
114,OK,77.900,0.44,16297.69999999553
115,OK,81.400,0.44,15457.7000066638
116,OK,80.200,0.44,15989.29997999221
117,OK,69.800,0.44,15743.699972517788
118,OK,107.800,0.44,15959.599986672401
119,OK,168.400,0.44,16020.299983210862
120,OK,271.500,0.44,15918.100019916892
121,OK,269.000,0.44,15154.799970332533
122,OK,241.800,0.44,15898.399986326694
123,OK,141.700,0.44,15882.600040640682
124,OK,135.800,0.44,15827.89997337386
125,OK,181.200,0.44,15442.600008100271
126,OK,192.900,0.44,15811.200020834804
127,OK,195.600,0.44,15566.600020974874
128,OK,124.900,0.44,15908.500005025417
129,OK,159.500,0.44,15715.39998985827
130,OK,166.300,0.44,15838.29999435693
131,OK,225.300,0.44,15753.700048662722
132,OK,349.800,0.44,15239.300031680614
133,OK,124.300,0.44,15783.999988343567
134,OK,109.600,0.44,16224.499966483563
135,OK,75.100,0.44,15795.900020748377
136,OK,84.100,0.44,15854.099998250604
137,OK,106.400,0.44,15610.30000448227
138,OK,92.800,0.44,16149.999981280416
139,OK,132.400,0.44,15751.499973703176
140,OK,129.300,0.44,15694.400004576892
141,OK,210.000,0.44,15700.099989771843
142,OK,204.200,0.44,15901.300008408725
143,OK,224.600,0.44,15320.900012739003
144,OK,141.100,0.44,15626.200009137392
145,OK,85.400,0.44,16215.100011322647
146,OK,133.400,0.44,15828.799980226904
147,OK,79.200,0.44,15624.099993146956
148,OK,60.700,0.44,15858.800034038723
149,OK,62.700,0.44,15906.899992842227
150,OK,61.500,0.44,16204.099985770881
151,OK,65.100,0.44,15907.90000045672
152,OK,92.200,0.44,15431.499981787056
153,OK,88.200,0.44,16039.000009186566
154,OK,42.600,0.44,16077.700012829155
155,OK,68.300,0.44,15982.199984136969
156,OK,82.400,0.44,15578.699996694922
157,OK,65.600,0.44,16266.49999525398
158,OK,102.500,0.44,15696.999966166914
159,OK,145.800,0.44,16061.300004366785
160,OK,181.300,0.44,15404.20000674203
161,OK,171.400,0.44,16103.500034660101
162,OK,346.700,0.44,15502.499998547137
163,OK,203.800,0.44,15557.900012936443
164,OK,204.500,0.44,15533.300000242889
165,OK,136.000,0.44,15710.69995407015
166,OK,107.200,0.44,16143.899993039668
167,OK,144.700,0.44,15496.800013352185
168,OK,119.700,0.44,16120.999993290752
169,OK,162.700,0.44,15600.100043229759
170,OK,188.800,0.44,16001.30001315847
171,OK,257.800,0.44,15431.399981025606
172,OK,99.700,0.44,15805.200033355504
173,OK,88.100,0.44,15903.799969237298
174,OK,85.300,0.44,15664.90001277998
175,OK,87.200,0.44,16063.799965195358
176,OK,101.900,0.44,15640.700003132224
177,OK,81.300,0.44,15810.0999542512
178,OK,67.200,0.44,16186.200024094433
179,OK,81.800,0.44,15650.599962100387
180,OK,83.400,0.44,16119.999985676259
181,OK,99.800,0.44,15843.199973460287
182,OK,81.900,0.44,15645.299979951233
183,OK,83.800,0.44,15825.200011022389
184,OK,62.100,0.44,15897.899982519448
185,OK,62.200,0.44,16249.499982222915
186,OK,56.600,0.44,15499.20003162697
187,OK,62.200,0.44,15897.000033874065
188,OK,88.300,0.44,15903.299965430051
189,OK,65.000,0.44,15927.500033285469
190,OK,101.600,0.44,15880.700026173145
191,OK,74.200,0.44,15928.999986499548
192,OK,208.300,0.44,15502.900001592934
193,OK,88.500,0.44,15996.100031770766
194,OK,159.400,0.44,15644.499973859638
195,OK,99.100,0.44,15829.29998403415
196,OK,95.500,0.44,16150.599985849112
197,OK,113.900,0.44,15678.19999763742
198,OK,121.100,0.44,16098.299995064735
199,OK,156.500,0.44,15481.399954296649
200,OK,182.700,0.44,15925.300016533583
201,OK,154.400,0.44,15616.899996530265
202,OK,131.500,0.44,15343.300008680671
203,OK,77.700,0.44,15813.000034540892
204,OK,74.000,0.44,16254.49996208772
205,OK,97.300,0.44,15648.200002033263
206,OK,91.900,0.44,16129.700001329184
207,OK,100.400,0.44,15600.400045514107
208,OK,84.700,0.44,16150.099982041866
209,OK,93.300,0.44,15553.299977909774
210,OK,100.200,0.44,15461.99998119846
211,OK,79.600,0.44,15881.599974818528
212,OK,60.700,0.44,15867.599984630942
213,OK,50.300,0.44,16320.700000505894
214,OK,58.700,0.44,15903.300023637712
215,OK,74.900,0.44,15615.799988154322
216,OK,91.400,0.44,15892.399998847395
217,OK,91.500,0.44,15833.399957045913
218,OK,104.600,0.44,15863.300010096282
219,OK,139.600,0.44,15898.399986326694
220,OK,139.000,0.44,15705.899975728244
221,OK,145.300,0.44,16115.099948365241
222,OK,129.000,0.44,15720.699972007424
223,OK,98.400,0.44,15828.999981749803
224,OK,73.400,0.44,15660.199976991862
225,OK,78.300,0.44,16090.399993117899
226,OK,87.900,0.44,20519.9999618344
227,OK,103.900,0.44,23886.899987701327
228,OK,81.300,0.44,26462.100038770586
229,OK,107.400,0.44,8208.499988541007
230,OK,60.400,0.44,15921.29998607561
231,OK,117.100,0.44,16074.799990747124
232,OK,73.000,0.44,15735.000022687018
233,OK,93.400,0.44,15842.600027099252
234,OK,86.000,0.44,16004.900040570647
235,OK,97.400,0.44,15907.399996649474
236,OK,110.900,0.44,15820.70003496483
237,OK,131.000,0.44,15956.200018990785
238,OK,167.800,0.44,15635.29996201396
239,OK,247.700,0.44,15493.19998594001
240,OK,111.800,0.44,15801.700006704777
241,OK,84.200,0.44,15831.500000786036
242,OK,59.800,0.44,16003.500029910356
243,OK,74.300,0.44,15751.899976748973
244,OK,67.100,0.44,15873.299969825894
245,OK,84.300,0.44,15870.600007474422
246,OK,97.200,0.44,16015.800007153302
247,OK,77.600,0.44,16059.799992945045
248,OK,69.000,0.44,15630.499983672053
249,OK,80.700,0.44,15960.200049448758
250,OK,80.700,0.44,16132.800024934113
251,OK,118.600,0.44,15498.200024012476
