bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3513.100,0.44,947.4999969825149
1,OK,62.500,0.44,15467.800025362521
2,OK,66.300,0.44,15796.300023794174
3,OK,58.000,0.44,15920.399979222566
4,OK,76.800,0.44,15898.300043772906
5,OK,111.700,0.44,15838.199993595481
6,OK,80.300,0.44,15886.000008322299
7,OK,106.200,0.44,15868.299989961088
8,OK,106.800,0.44,15783.799986820668
9,OK,99.500,0.44,19337.59998064488
10,OK,116.600,0.44,12618.69998415932
11,OK,106.800,0.44,15991.499996744096
12,OK,125.700,0.44,15367.600019089878
13,OK,116.000,0.44,52508.39999644086
14,OK,138.400,0.44,48300.40002707392
15,OK,122.400,0.44,34091.30004001781
16,OK,139.000,0.44,13199.199980590492
17,OK,120.000,0.44,34691.60001259297
18,OK,121.400,0.44,13100.799988023937
19,OK,136.000,0.44,15579.700004309416
20,OK,119.500,0.44,12895.199994090945
21,OK,146.000,0.44,15988.699975423515
22,OK,134.900,0.44,15640.700003132224
23,OK,127.000,0.44,15833.800018299371
24,OK,117.000,0.44,15719.80002336204
25,OK,115.300,0.44,15888.69997067377
26,OK,122.200,0.44,15789.50003022328
27,OK,85.100,0.44,15789.999975822866
28,OK,72.800,0.44,15873.500029556453
29,OK,82.500,0.44,15862.300002481788
30,OK,93.900,0.44,15891.100047156215
31,OK,76.000,0.44,15931.69994885102
32,OK,82.600,0.44,15882.499981671572
33,OK,90.900,0.44,15848.000010009855
34,OK,73.200,0.44,15943.39997973293
35,OK,83.700,0.44,15834.599966183305
36,OK,81.200,0.44,15893.30000570044
37,OK,82.400,0.44,15872.40002118051
38,OK,63.200,0.44,15886.600012890995
39,OK,65.500,0.44,15895.099961198866
40,OK,68.800,0.44,15888.90003040433
41,OK,89.200,0.44,15867.199981585145
42,OK,71.000,0.44,15837.499988265336
43,OK,63.500,0.44,15943.800040986389
44,OK,68.500,0.44,15884.099993854761
45,OK,69.400,0.44,15940.60001662001
46,OK,89.500,0.44,15854.60000205785
47,OK,84.900,0.44,15900.50000231713
48,OK,66.000,0.44,15904.99997837469
49,OK,64.500,0.44,15910.399961285293
50,OK,66.400,0.44,15803.900023456663
51,OK,58.200,0.44,15925.000014249235
52,OK,84.800,0.44,15884.499996900558
53,OK,72.500,0.44,15846.400056034327
54,OK,83.800,0.44,15895.799966529012
55,OK,89.200,0.44,15912.39997651428
56,OK,64.500,0.44,15797.100029885769
57,OK,62.700,0.44,15987.099963240325
58,OK,81.000,0.44,15822.299988940358
59,OK,61.100,0.44,15975.799993611872
60,OK,59.300,0.44,15903.999970760196
61,OK,48.700,0.44,15845.899994019419
62,OK,52.600,0.44,15965.499973390251
63,OK,95.000,0.44,15890.09998133406
64,OK,168.500,0.44,16467.000008560717
65,OK,137.100,0.44,16093.699960038066
66,OK,158.700,0.44,14946.900017093867
67,OK,133.900,0.44,15996.800037100911
68,OK,132.700,0.44,15366.399951744825
69,OK,117.700,0.44,15815.899998415262
70,OK,80.100,0.44,15856.999962124974
71,OK,86.900,0.44,15889.199974481016
72,OK,114.400,0.44,15819.700027350336
73,OK,62.300,0.44,15905.499982181937
74,OK,110.300,0.44,15834.100020583719
75,OK,89.500,0.44,15858.399972785264
76,OK,117.700,0.44,15864.100016187876
77,OK,122.800,0.44,15774.999978020787
78,OK,107.100,0.44,15852.299984544516
79,OK,152.600,0.44,15916.600008495152
80,OK,132.900,0.44,15672.300010919571
81,OK,82.400,0.44,15822.699991986156
82,OK,88.000,0.44,15885.8000067994
83,OK,67.000,0.44,15894.80001712218
84,OK,69.700,0.44,15929.199988022447
85,OK,67.300,0.44,15924.40000968054
86,OK,83.800,0.44,15836.9000419043
87,OK,92.500,0.44,15825.700014829636
88,OK,60.500,0.44,15878.50000942126
89,OK,52.300,0.44,15951.099980156869
90,OK,83.300,0.44,15896.700031589717
91,OK,72.000,0.44,15874.599979724735
92,OK,79.200,0.44,15892.900002654642
93,OK,71.700,0.44,15939.10000519827
94,OK,82.700,0.44,15895.500022452325
95,OK,76.500,0.44,15857.199963647872
96,OK,93.100,0.44,15791.899990290403
97,OK,77.200,0.44,15991.599997505546
98,OK,86.300,0.44,15791.00004164502
99,OK,114.100,0.44,15834.600024390966
100,OK,97.400,0.44,15865.10002380237
101,OK,80.500,0.44,15804.799972102046
102,OK,71.000,0.44,16788.400011137128
103,OK,142.700,0.44,14834.499976132065
104,OK,62.000,0.44,15887.600020505488
105,OK,81.100,0.44,15880.200022365898
106,OK,117.800,0.44,15800.599998328835
107,OK,81.600,0.44,15888.80002964288
108,OK,79.600,0.44,15920.800040476024
109,OK,77.200,0.44,15808.900003321469
110,OK,103.900,0.44,15866.999980062246
111,OK,76.400,0.44,15854.60000205785
112,OK,79.200,0.44,15886.200009845197
113,OK,85.800,0.44,15863.70001314208
114,OK,97.100,0.44,15842.500026337802
115,OK,124.900,0.44,15847.800008486956
116,OK,120.600,0.44,15824.400004930794
117,OK,120.300,0.44,15771.80001186207
118,OK,89.400,0.44,15924.40000968054
119,OK,78.800,0.44,15874.399978201836
120,OK,76.900,0.44,15876.100049354136
121,OK,70.200,0.44,15882.80004216358
122,OK,72.600,0.44,15891.299990471452
123,OK,68.700,0.44,15909.499954432249
124,OK,72.000,0.44,15865.400026086718
125,OK,78.000,0.44,15871.600015088916
126,OK,57.500,0.44,15900.100057478994
127,OK,51.600,0.44,16001.800016965717
128,OK,66.200,0.44,15832.40000763908
129,OK,113.600,0.44,15880.100021604449
130,OK,61.700,0.44,15910.200017970055
131,OK,68.400,0.44,15843.200031667948
132,OK,97.800,0.44,15898.299985565245
133,OK,71.000,0.44,15840.400010347366
134,OK,86.900,0.44,15907.90000045672
135,OK,65.700,0.44,15893.500007223338
136,OK,66.200,0.44,15866.100031416863
137,OK,112.300,0.44,15792.899997904897
138,OK,80.300,0.44,15967.899991665035
139,OK,113.800,0.44,15736.499975901097
140,OK,58.200,0.44,15907.699998933822
141,OK,54.800,0.44,15960.600052494556
142,OK,78.700,0.44,15910.200017970055
143,OK,85.300,0.44,15853.799995966256
144,OK,76.100,0.44,15879.599959589541
145,OK,75.600,0.44,15862.500004004687
146,OK,99.900,0.44,15851.199976168573
147,OK,76.800,0.44,15863.70001314208
148,OK,65.100,0.44,15895.500022452325
149,OK,63.600,0.44,15893.20000493899
150,OK,64.000,0.44,15899.599995464087
151,OK,86.200,0.44,15870.800008997321
152,OK,64.400,0.44,15860.799991060048
153,OK,84.800,0.44,15902.799961622804
154,OK,64.200,0.44,15902.00001373887
155,OK,64.000,0.44,15959.499985910952
156,OK,66.200,0.44,15819.300024304539
157,OK,72.100,0.44,15966.500039212406
158,OK,70.900,0.44,15863.300010096282
159,OK,73.800,0.44,15847.000002395362
160,OK,56.600,0.44,15936.19998311624
161,OK,92.000,0.44,15857.70002566278
162,OK,91.300,0.44,15872.099960688502
163,OK,71.000,0.44,15883.699990808964
164,OK,80.200,0.44,15902.400016784668
165,OK,92.800,0.44,15845.79999325797
