bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,5754.600,0.0,6134.200026281178
1,OK,117.100,0.44,15347.099979408085
2,OK,189.700,0.44,15730.599989183247
3,OK,86.500,0.44,15862.900007050484
4,OK,104.300,0.44,15869.39999833703
5,OK,66.800,0.44,15943.000034894794
6,OK,156.900,0.44,15718.200011178851
7,OK,155.100,0.44,15691.600041463971
8,OK,101.200,0.44,15717.100002802908
9,OK,119.300,0.44,15776.30004612729
10,OK,104.300,0.44,15876.099991146475
11,OK,110.600,0.44,15815.699996892363
12,OK,122.200,0.44,15784.399991389364
13,OK,73.500,0.44,15905.299980659038
14,OK,70.600,0.44,15820.59997599572
15,OK,81.600,0.44,15914.599993266165
16,OK,113.500,0.44,15833.800018299371
17,OK,68.000,0.44,16041.399969253689
18,OK,162.900,0.44,15646.599989850074
19,OK,168.200,0.44,15615.199983585626
20,OK,109.700,0.44,15855.100005865097
21,OK,94.000,0.44,15865.00002304092
22,OK,69.900,0.44,15890.19998209551
23,OK,69.000,0.44,15943.100035656244
24,OK,83.400,0.44,15915.900003165007
25,OK,71.400,0.44,15838.599996641278
26,OK,96.500,0.44,15871.199953835458
27,OK,94.400,0.44,49400.499963667244
28,OK,93.700,0.44,32420.40000623092
29,OK,119.200,0.44,27368.700015358627
30,OK,109.500,0.44,2196.100016590208
31,OK,76.900,0.44,15889.199974481016
32,OK,98.100,0.44,15793.80000475794
33,OK,114.800,0.44,15807.599993422627
34,OK,69.700,0.44,15882.599982433021
35,OK,72.100,0.44,15887.20001745969
36,OK,64.100,0.44,15893.600007984787
37,OK,68.800,0.44,15910.300018731505
38,OK,84.100,0.44,15879.400016274303
39,OK,124.800,0.44,15788.699965924025
40,OK,101.300,0.44,15887.799963820726
41,OK,147.100,0.44,15780.099958647043
42,OK,146.800,0.44,15868.799993768334
43,OK,109.200,0.44,15723.999997135252
44,OK,94.600,0.44,15877.600002568215
45,OK,81.700,0.44,15856.199956033379
46,OK,120.200,0.44,16169.200011063367
47,OK,138.600,0.44,15457.200002856553
48,OK,92.300,0.44,15896.000026259571
49,OK,109.700,0.44,15797.999978531152
50,OK,96.300,0.44,15855.500008910894
51,OK,94.600,0.44,15803.200018126518
52,OK,91.800,0.44,15871.00001052022
53,OK,75.100,0.44,15900.60000307858
54,OK,92.200,0.44,15862.200001720339
55,OK,109.600,0.44,15828.399977181107
56,OK,74.200,0.44,15940.4999576509
57,OK,106.600,0.44,15811.999968718737
58,OK,104.800,0.44,15842.499968130141
59,OK,101.100,0.44,15868.599992245436
60,OK,67.700,0.44,15908.800007309765
61,OK,92.900,0.44,15870.200004428625
62,OK,95.200,0.44,15795.699961017817
63,OK,71.700,0.44,15958.700038027018
64,OK,89.900,0.44,15823.5999988392
65,OK,92.400,0.44,16563.999990466982
66,OK,107.800,0.44,17725.099984090775
67,OK,138.900,0.44,13638.30000627786
68,OK,157.400,0.44,20751.39997759834
69,OK,105.100,0.44,13118.699949700385
70,OK,107.400,0.44,14586.30000706762
71,OK,126.500,0.44,14294.799999333918
72,OK,101.600,0.44,15838.199993595481
73,OK,109.400,0.44,15836.79998293519
74,OK,99.400,0.44,15813.999983947724
75,OK,94.200,0.44,15912.699978798628
76,OK,73.300,0.44,15836.500038858503
77,OK,67.200,0.44,15898.399986326694
78,OK,68.300,0.44,15911.699971184134
79,OK,76.800,0.44,15861.399995628744
80,OK,68.500,0.44,15917.499957140535
81,OK,74.300,0.44,15867.000038269907
82,OK,61.500,0.44,15986.900019925088
83,OK,161.500,0.44,15644.3000305444
84,OK,100.400,0.44,15872.000018134713
85,OK,80.800,0.44,15859.499981161207
86,OK,122.200,0.44,15871.399955358356
87,OK,120.700,0.44,15827.099967282265
88,OK,67.500,0.44,15903.3999661915
89,OK,61.200,0.44,15896.899974904954
90,OK,61.800,0.44,15884.599997662008
91,OK,87.400,0.44,15875.999990385026
92,OK,95.900,0.44,15847.100003156811
93,OK,67.400,0.44,15889.600035734475
94,OK,95.800,0.44,15888.999972958118
95,OK,77.800,0.44,15817.000006791204
96,OK,65.100,0.44,15888.400026597083
97,OK,81.000,0.44,15956.099960021675
98,OK,74.500,0.44,15848.399954847991
99,OK,70.200,0.44,15907.499997410923
100,OK,66.700,0.44,15909.50001263991
101,OK,84.900,0.44,15779.700013808906
102,OK,110.900,0.44,15813.30003682524
103,OK,224.600,0.44,15695.800015237182
104,OK,65.900,0.44,15913.699986413121
105,OK,78.600,0.44,15849.200019147247
106,OK,74.100,0.44,15885.000000707805
107,OK,67.700,0.44,15882.099978625774
108,OK,77.800,0.44,15823.800000362098
109,OK,90.800,0.44,15917.00001154095
110,OK,68.100,0.44,15877.800004091114
111,OK,124.800,0.44,15841.200016438961
112,OK,110.700,0.44,15889.199974481016
113,OK,73.200,0.44,15930.09999487549
114,OK,73.000,0.44,15907.599998172373
115,OK,115.400,0.44,15727.999969385564
116,OK,66.800,0.44,15894.799958914518
117,OK,68.100,0.44,15875.29998505488
118,OK,82.200,0.44,15912.40003472194
119,OK,98.100,0.44,15817.300009075552
120,OK,61.800,0.44,15902.400016784668
121,OK,56.200,0.44,15894.400014076382
122,OK,69.000,0.44,15963.700017891824
123,OK,131.100,0.44,15774.60003318265
124,OK,183.700,0.44,15622.700040694326
125,OK,104.300,0.44,15846.399997826666
126,OK,101.200,0.44,15858.500031754375
127,OK,92.900,0.44,15827.000024728477
128,OK,103.300,0.44,15849.000017624348
129,OK,67.100,0.44,15852.600045036525
130,OK,76.600,0.44,15926.399966701865
131,OK,50.300,0.44,15953.90000147745
132,OK,61.600,0.44,15863.70001314208
133,OK,62.800,0.44,15910.200017970055
134,OK,73.700,0.44,15911.299968138337
135,OK,103.800,0.44,15814.399986993521
136,OK,74.800,0.44,15903.100022114813
137,OK,94.800,0.44,15853.299992159009
138,OK,78.000,0.44,15938.900003675371
139,OK,85.000,0.44,15912.39997651428
140,OK,71.800,0.44,15879.100013989955
141,OK,75.000,0.44,15839.200001209974
142,OK,89.600,0.44,15890.09998133406
143,OK,70.200,0.44,15858.199971262366
144,OK,77.000,0.44,15885.799948591739
145,OK,100.400,0.44,15852.999989874661
146,OK,61.700,0.44,15970.700012985617
147,OK,59.100,0.44,15872.800024226308
148,OK,62.600,0.44,15939.300006721169
149,OK,73.900,0.44,15867.599984630942
150,OK,74.900,0.44,15859.599981922656
151,OK,51.800,0.44,15906.900051049888
152,OK,81.600,0.44,15887.999965343624
153,OK,60.100,0.44,15860.999992582947
154,OK,62.100,0.44,15943.999984301627
155,OK,50.900,0.44,15918.900026008487
156,OK,55.800,0.44,15943.400037940592
157,OK,45.800,0.44,15905.999985989183
158,OK,35.100,0.44,15997.199981939048
159,OK,66.100,0.44,15890.399983618408
160,OK,56.900,0.44,15915.200056042522
161,OK,54.400,0.44,15943.100035656244
162,OK,77.900,0.44,15859.499981161207
163,OK,47.100,0.44,15913.500043097883
164,OK,49.400,0.44,15955.200011376292
165,OK,61.500,0.44,15888.400026597083
166,OK,50.100,0.44,15967.799990903586
167,OK,60.400,0.44,15923.699946142733
168,OK,50.100,0.44,15857.500024139881
169,OK,45.800,0.44,15965.999977197498
170,OK,51.000,0.44,15910.299960523844
171,OK,53.100,0.44,15898.99999089539
172,OK,40.600,0.44,15940.900018904358
173,OK,58.500,0.44,15903.70002668351
174,OK,43.900,0.44,15990.100044291466
175,OK,50.300,0.44,15922.79999749735
176,OK,43.800,0.44,15859.499981161207
177,OK,70.500,0.44,15981.599979568273
178,OK,65.500,0.44,15883.799991570413
179,OK,46.400,0.44,15959.299984388053
180,OK,70.800,0.44,15832.900011446327
181,OK,46.600,0.44,15954.900009091944
182,OK,51.100,0.44,16001.30001315847
183,OK,64.600,0.44,15768.199984449893
184,OK,59.300,0.44,15975.799993611872
185,OK,42.800,0.44,15931.300004012883
186,OK,40.500,0.44,15949.49996797368
187,OK,47.800,0.44,15937.899996060878
188,OK,55.500,0.44,15890.799986664206
189,OK,55.000,0.44,15941.700024995953
190,OK,56.600,0.44,15898.599987849593
191,OK,71.900,0.44,15932.399954181165
192,OK,65.700,0.44,15831.700002308935
193,OK,101.600,0.44,15902.700019069016
194,OK,48.900,0.44,15920.900041237473
195,OK,54.300,0.44,15892.900002654642
196,OK,63.200,0.44,15927.900036331266
197,OK,54.500,0.44,15938.500000629574
198,OK,61.200,0.44,15901.599952485412
199,OK,58.000,0.44,15904.700034298003
200,OK,55.000,0.44,15927.700034808367
201,OK,78.900,0.44,15737.199981231242
202,OK,65.000,0.44,15888.600028119981
203,OK,95.900,0.44,15857.59996669367
204,OK,52.900,0.44,15934.199967887253
205,OK,51.100,0.44,15948.10001552105
206,OK,66.700,0.44,15880.800026934594
207,OK,44.100,0.44,15919.89997541532
208,OK,44.600,0.44,15927.599975839257
209,OK,71.100,0.44,15885.200002230704
210,OK,58.800,0.44,15965.200029313564
211,OK,61.600,0.44,15880.399965681136
212,OK,51.200,0.44,15787.699958309531
213,OK,51.800,0.44,15878.700010944158
214,OK,51.500,0.44,15919.80003286153
215,OK,46.500,0.44,15942.399972118437
216,OK,56.200,0.44,15923.999948427081
217,OK,45.200,0.44,15917.700016871095
218,OK,47.700,0.44,15933.10001771897
219,OK,56.100,0.44,15947.800013236701
220,OK,107.800,0.44,15879.8000193201
221,OK,57.700,0.44,15952.099987771362
222,OK,1353.200,0.44,14521.699980832636
223,OK,42.000,0.44,15873.89997439459
224,OK,80.100,0.44,15947.89995579049
225,OK,44.300,0.44,15934.500028379261
226,OK,42.800,0.44,15936.09998235479
227,OK,63.800,0.44,15886.600012890995
228,OK,53.200,0.44,15953.699999954551
229,OK,58.400,0.44,15905.700041912496
230,OK,53.200,0.44,15923.400002066046
231,OK,54.800,0.44,15920.599980745465
232,OK,57.500,0.44,15907.599998172373
233,OK,56.300,0.44,15934.6999716945
234,OK,74.600,0.44,15876.299992669374
235,OK,45.100,0.44,15922.6999967359
236,OK,58.800,0.44,15937.400050461292
237,OK,54.700,0.44,15903.900028206408
238,OK,48.800,0.44,15901.800012215972
239,OK,56.300,0.44,15936.30004208535
240,OK,50.400,0.44,15916.400006972253
241,OK,43.100,0.44,15915.800002403557
