bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,68838.700,0.0,14583.29998422414
1,OK,164.600,0.44,14458.600024227053
2,OK,107.200,0.44,15827.200026251376
3,OK,94.700,0.44,15836.499980650842
4,OK,83.500,0.44,15891.499991994351
5,OK,95.400,0.44,15844.699984882027
6,OK,77.500,0.44,15865.10002380237
7,OK,100.700,0.44,15849.700022954494
8,OK,97.900,0.44,15823.3999973163
9,OK,120.200,0.44,15840.900014154613
10,OK,114.000,0.44,15792.4999948591
11,OK,130.200,0.44,15822.399989701807
12,OK,106.200,0.44,15797.600033693016
13,OK,120.000,0.44,15817.999956198037
14,OK,120.100,0.44,15746.999997645617
15,OK,78.400,0.44,15918.600023724139
16,OK,96.200,0.44,15816.799947060645
17,OK,75.700,0.44,15892.099996563047
18,OK,99.300,0.44,15819.899970665574
19,OK,70.300,0.44,15866.099973209202
20,OK,97.700,0.44,15808.199997991323
21,OK,76.500,0.44,15877.300000283867
22,OK,83.600,0.44,15919.200028292835
23,OK,125.300,0.44,15764.900017529726
24,OK,92.100,0.44,15893.30000570044
25,OK,82.300,0.44,15851.299976930022
26,OK,78.200,0.44,15875.099983531982
27,OK,92.000,0.44,15844.999987166375
28,OK,99.900,0.44,15940.900018904358
29,OK,111.900,0.44,15816.500002983958
30,OK,80.800,0.44,15850.899973884225
31,OK,90.600,0.44,15897.399978712201
32,OK,102.800,0.44,15770.30000044033
33,OK,79.000,0.44,15982.199984136969
34,OK,114.900,0.44,15731.200051959604
35,OK,85.200,0.44,15838.29999435693
36,OK,95.200,0.44,15992.300002835691
37,OK,89.200,0.44,15717.900008894503
38,OK,104.100,0.44,15866.899979300797
39,OK,114.100,0.44,15838.199993595481
40,OK,117.100,0.44,15790.000034030527
41,OK,104.700,0.44,15869.099996052682
42,OK,126.800,0.44,15735.800028778613
43,OK,94.400,0.44,15854.400000534952
44,OK,105.400,0.44,15862.00000019744
45,OK,105.000,0.44,15768.099983688444
46,OK,89.700,0.44,15866.299974732101
47,OK,88.300,0.44,15886.500012129545
48,OK,100.800,0.44,15830.099990125746
49,OK,67.800,0.44,15902.800019830465
50,OK,66.900,0.44,15858.000027947128
51,OK,79.900,0.44,15886.100009083748
52,OK,86.700,0.44,15885.90000756085
53,OK,104.400,0.44,15788.800024893135
