bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,4850.500,0.44,15737.199981231242
1,OK,115.200,0.44,15762.600000016391
2,OK,117.900,0.44,15726.500016171485
3,OK,95.100,0.44,15879.200014751405
4,OK,90.200,0.44,15864.89996407181
5,OK,82.900,0.44,15851.299976930022
6,OK,108.200,0.44,15810.599958058447
7,OK,115.700,0.44,15861.799998674542
8,OK,95.200,0.44,15958.099975250661
9,OK,133.300,0.44,15562.299988232553
10,OK,85.000,0.44,15877.400001045316
11,OK,95.800,0.44,15893.800009507686
12,OK,118.400,0.44,15793.80000475794
13,OK,94.500,0.44,15988.199971616268
14,OK,101.600,0.44,19040.399987716228
15,OK,95.600,0.44,13552.399992477149
16,OK,109.600,0.44,19344.499974977225
17,OK,111.400,0.44,11291.20000405237
18,OK,113.100,0.44,15698.099974542856
19,OK,116.000,0.44,20303.400000557303
20,OK,97.300,0.44,15551.799966488034
21,OK,122.500,0.44,14871.499966830015
22,OK,116.100,0.44,12489.200045820326
23,OK,91.100,0.44,16095.499973744154
24,OK,122.000,0.44,15653.799986466765
25,OK,126.700,0.44,15785.900002811104
26,OK,103.800,0.44,31333.09999248013
27,OK,92.500,0.44,27326.299983542413
28,OK,96.000,0.44,8190.000022295862
29,OK,76.300,0.44,31512.10001669824
30,OK,82.800,0.44,20128.90001060441
31,OK,88.500,0.44,58561.49998726323
32,OK,118.400,0.44,50775.90001747012
33,OK,98.900,0.44,14014.799962751567
34,OK,96.400,0.44,27469.599968753755
35,OK,178.600,0.44,40646.90001541749
36,OK,106.800,0.44,42858.999979216605
37,OK,120.700,0.44,15780.5000199005
38,OK,94.000,0.44,14174.300013110042
39,OK,226.700,0.44,20889.700041152537
40,OK,102.900,0.44,32421.700016129762
41,OK,149.400,0.44,9019.500052090734
42,OK,161.700,0.44,36662.50000242144
43,OK,90.600,0.44,11016.799951903522
44,OK,173.900,0.44,15617.400000337511
45,OK,62.200,0.44,15918.799967039376
46,OK,85.000,0.44,15839.700005017221
47,OK,67.100,0.44,15899.19999241829
48,OK,67.800,0.44,15902.499959338456
49,OK,85.900,0.44,15875.39998581633
50,OK,88.400,0.44,15889.299975242466
51,OK,99.000,0.44,15828.300034627318
52,OK,96.800,0.44,16119.600040838122
53,OK,95.200,0.44,16964.1999527812
54,OK,129.600,0.44,15771.400008816272
55,OK,92.500,0.44,26612.000016029924
56,OK,365.500,0.44,5680.400005076081
57,OK,99.900,0.44,17274.599988013506
58,OK,95.900,0.44,15745.499986223876
59,OK,91.000,0.44,13685.400015674531
60,OK,91.300,0.44,14348.800003062934
61,OK,150.700,0.44,16225.700033828616
62,OK,147.000,0.44,15108.499967027456
63,OK,106.400,0.44,15812.799974810332
64,OK,125.300,0.44,15828.799980226904
65,OK,86.800,0.44,15836.499980650842
66,OK,77.100,0.44,19292.600045446306
67,OK,145.700,0.44,13392.19999499619
68,OK,123.200,0.44,14773.900038562715
69,OK,104.700,0.44,15807.899995706975
70,OK,108.400,0.44,15992.800006642938
71,OK,98.800,0.44,15962.70001027733
72,OK,99.900,0.44,15541.700005996972
73,OK,109.500,0.44,15799.099986907095
74,OK,104.900,0.44,15846.300055272877
75,OK,117.000,0.44,15793.099999427795
76,OK,112.500,0.44,15816.400002222508
77,OK,113.500,0.44,15848.900016862899
78,OK,90.400,0.44,15939.10000519827
79,OK,176.100,0.44,15575.099969282746
80,OK,60.200,0.44,16154.700017068535
81,OK,143.300,0.44,15611.100010573864
82,OK,107.200,0.44,15783.39998377487
83,OK,108.900,0.44,15777.399996295571
84,OK,84.200,0.44,15981.900040060282
85,OK,177.500,0.44,15704.700024798512
86,OK,141.800,0.44,15738.499991130084
87,OK,104.400,0.44,15808.199997991323
88,OK,72.300,0.44,15886.600012890995
89,OK,93.200,0.44,15843.799978028983
90,OK,113.800,0.44,15863.000007811934
91,OK,133.600,0.44,15794.999955687672
92,OK,101.100,0.44,15793.200000189245
93,OK,121.100,0.44,15732.299943920225
94,OK,69.800,0.44,15862.600004766136
95,OK,84.300,0.44,15870.600007474422
