bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,48363.500,0.0,3555.700008291751
1,OK,163.600,0.44,14684.900001157075
2,OK,61.200,0.44,15956.700022798032
3,OK,78.200,0.44,15956.599963828921
4,OK,132.800,0.44,15813.399979379028
5,OK,131.100,0.44,15775.699983350933
6,OK,65.500,0.44,15811.399964150041
7,OK,90.300,0.44,15870.69995002821
8,OK,65.200,0.44,15868.799993768334
9,OK,57.700,0.44,15926.899970509112
10,OK,68.900,0.44,15935.99998159334
11,OK,56.400,0.44,15885.000000707805
12,OK,51.600,0.44,15916.499949526042
13,OK,59.400,0.44,15878.50000942126
14,OK,78.500,0.44,15950.099972542375
15,OK,104.000,0.44,15730.899991467595
16,OK,50.400,0.44,15937.799995299429
17,OK,65.200,0.44,15905.400039628148
18,OK,54.400,0.44,15908.800007309765
19,OK,47.300,0.44,15924.700011964887
20,OK,52.600,0.44,15935.399977024645
21,OK,46.500,0.44,15868.0000458844
22,OK,89.400,0.44,15883.499989286065
23,OK,83.000,0.44,15868.199989199638
24,OK,88.900,0.44,15868.299989961088
25,OK,101.100,0.44,15865.600027609617
26,OK,110.600,0.44,15757.499961182475
27,OK,107.700,0.44,15818.800020497292
28,OK,165.800,0.44,15787.499956786633
29,OK,90.800,0.44,15820.39997447282
30,OK,87.500,0.44,15846.399997826666
31,OK,84.600,0.44,15870.400005951524
32,OK,70.400,0.44,15878.000005614012
33,OK,78.700,0.44,15871.299954596907
34,OK,78.000,0.44,15874.299977440387
35,OK,76.800,0.44,16078.899963758886
36,OK,218.300,0.44,15524.999995250255
37,OK,85.200,0.44,15858.100028708577
38,OK,76.900,0.44,15888.499969150871
39,OK,82.900,0.44,15867.499983869493
40,OK,75.200,0.44,15874.499978963286
41,OK,86.600,0.44,15891.899995040148
42,OK,100.700,0.44,15834.900026675314
43,OK,137.600,0.44,15775.499981828034
44,OK,97.800,0.44,15851.300035137683
45,OK,56.300,0.44,15873.000025749207
46,OK,81.800,0.44,15887.20001745969
47,OK,86.600,0.44,15951.099980156869
48,OK,70.900,0.44,15766.700031235814
49,OK,175.600,0.44,15781.400026753545
50,OK,131.500,0.44,15724.600001703948
51,OK,83.300,0.44,15916.700009256601
52,OK,108.400,0.44,15735.199966002256
53,OK,65.700,0.44,15938.600001391023
54,OK,71.500,0.44,15947.800013236701
55,OK,75.400,0.44,15891.199989710003
56,OK,65.700,0.44,15795.50001770258
57,OK,72.500,0.44,15937.899996060878
58,OK,58.500,0.44,15857.100021094084
59,OK,45.700,0.44,16002.500022295862
60,OK,43.500,0.44,15857.60002490133
61,OK,49.000,0.44,15948.200016282499
62,OK,111.000,0.44,15850.19996855408
63,OK,58.700,0.44,15841.899963561445
64,OK,73.400,0.44,15864.300017710775
65,OK,64.600,0.44,15893.600007984787
66,OK,80.400,0.44,15901.500009931624
67,OK,115.700,0.44,15798.2999808155
68,OK,131.100,0.44,15791.899990290403
69,OK,120.600,0.44,15843.600034713745
70,OK,85.700,0.44,16010.999970603734
71,OK,152.300,0.44,15975.599992088974
72,OK,96.900,0.44,15430.699975695461
73,OK,93.900,0.44,16192.100010812283
74,OK,131.600,0.44,15378.400043118745
75,OK,85.200,0.44,15857.400023378432
76,OK,114.000,0.44,16103.200032375753
77,OK,118.900,0.44,15466.599958017468
78,OK,95.800,0.44,15822.199988178909
79,OK,72.400,0.44,15855.700010433793
80,OK,89.700,0.44,15861.499996390194
81,OK,95.400,0.44,15836.499980650842
82,OK,94.400,0.44,15853.09999063611
83,OK,106.000,0.44,15808.900003321469
84,OK,67.800,0.44,15910.79996433109
85,OK,70.900,0.44,16026.799974497408
86,OK,67.800,0.44,15834.299963898957
87,OK,67.600,0.44,15823.099995031953
88,OK,47.400,0.44,15907.299995888025
89,OK,68.500,0.44,15895.800024736673
90,OK,52.100,0.44,15939.299948513508
91,OK,65.700,0.44,15897.000033874065
92,OK,62.200,0.44,15902.00001373887
93,OK,67.100,0.44,15898.199984803796
94,OK,64.700,0.44,15802.90001584217
95,OK,66.100,0.44,15914.799994789064
96,OK,48.200,0.44,15964.800026267767
97,OK,57.100,0.44,15896.20002778247
98,OK,61.900,0.44,15969.700005371124
99,OK,46.100,0.44,15889.900038018823
100,OK,59.400,0.44,15947.90001399815
101,OK,72.300,0.44,15776.499989442527
102,OK,53.100,0.44,15981.399978045374
103,OK,118.000,0.44,16007.700003683567
104,OK,61.500,0.44,15696.300019044429
105,OK,64.200,0.44,16138.900013174862
106,OK,68.200,0.44,15907.199995126575
107,OK,135.200,0.44,15651.399968191981
108,OK,221.400,0.44,15547.89999499917
109,OK,83.100,0.44,15813.499980140477
110,OK,57.700,0.44,16058.200038969517
111,OK,201.500,0.44,15522.399975452572
112,OK,81.400,0.44,15829.000039957464
113,OK,70.300,0.44,15927.000029478222
114,OK,62.300,0.44,15955.700015183538
115,OK,66.900,0.44,15908.700006548315
116,OK,54.100,0.44,15909.200010355562
117,OK,58.200,0.44,15915.199997834861
118,OK,51.500,0.44,15874.799981247634
119,OK,45.700,0.44,15941.199962981045
120,OK,70.700,0.44,15868.299989961088
121,OK,56.500,0.44,16009.200015105307
122,OK,82.100,0.44,15791.299985721707
123,OK,56.000,0.44,15973.899979144335
124,OK,55.300,0.44,15880.900027696043
125,OK,50.300,0.44,15856.599959079176
126,OK,54.300,0.44,15914.10004766658
127,OK,59.300,0.44,15901.700011454523
128,OK,83.700,0.44,15876.099991146475
129,OK,72.800,0.44,15909.499954432249
130,OK,77.900,0.44,15815.799997653812
131,OK,64.700,0.44,15872.40002118051
132,OK,45.100,0.44,15990.900050383061
133,OK,55.800,0.44,15825.500013306737
134,OK,36.000,0.44,15941.100020427257
135,OK,61.500,0.44,15926.599968224764
136,OK,60.900,0.44,15906.099986750633
137,OK,69.300,0.44,15922.099992167205
138,OK,78.100,0.44,15897.69998099655
139,OK,60.500,0.44,15908.400004263967
140,OK,66.200,0.44,15887.500019744039
141,OK,60.800,0.44,15925.80002034083
142,OK,59.800,0.44,15874.199976678938
143,OK,63.600,0.44,15863.800013903528
144,OK,59.000,0.44,15946.999948937446
145,OK,67.900,0.44,15807.799994945526
146,OK,61.600,0.44,15978.000010363758
147,OK,68.000,0.44,15894.100011792034
148,OK,113.600,0.44,15826.200018636882
149,OK,94.000,0.44,15836.200036574155
150,OK,56.600,0.44,15928.299981169403
151,OK,80.100,0.44,15874.10003412515
152,OK,59.800,0.44,15830.99999697879
153,OK,99.500,0.44,15885.600005276501
154,OK,69.700,0.44,15861.599997151643
155,OK,54.300,0.44,15947.200008668005
156,OK,51.900,0.44,15911.600028630346
157,OK,78.600,0.44,15806.000039447099
158,OK,54.100,0.44,15962.600009515882
159,OK,87.000,0.44,15833.499957807362
160,OK,44.600,0.44,15873.199969064444
161,OK,46.800,0.44,15942.600031848997
162,OK,51.400,0.44,15958.29997677356
163,OK,52.400,0.44,15929.199988022447
164,OK,43.000,0.44,15901.500009931624
165,OK,64.400,0.44,15865.099965594709
166,OK,52.700,0.44,15962.600009515882
167,OK,48.900,0.44,15942.599973641336
168,OK,46.300,0.44,15895.600023213774
169,OK,55.600,0.44,15936.19998311624
170,OK,69.300,0.44,15856.10001347959
171,OK,49.100,0.44,15941.699966788292
172,OK,61.100,0.44,15830.99999697879
173,OK,55.300,0.44,15949.100023135543
174,OK,59.100,0.44,15863.200009334832
175,OK,51.000,0.44,15995.800029486418
176,OK,50.200,0.44,15870.400005951524
177,OK,46.500,0.44,15939.999953843653
178,OK,104.700,0.44,15805.999981239438
179,OK,80.100,0.44,15905.600041151047
180,OK,67.800,0.44,15915.800002403557
181,OK,57.400,0.44,15855.900011956692
182,OK,117.200,0.44,15839.90000654012
183,OK,45.400,0.44,15932.900016196072
184,OK,55.600,0.44,15898.099984042346
185,OK,49.400,0.44,15948.999964166433
186,OK,58.500,0.44,15859.899984207004
187,OK,58.100,0.44,15960.299992002547
188,OK,65.800,0.44,15830.099990125746
189,OK,79.000,0.44,15907.200053334236
190,OK,60.100,0.44,15955.899958498776
191,OK,95.100,0.44,15812.099969480187
192,OK,89.600,0.44,15901.200007647276
193,OK,80.900,0.44,15851.399977691472
194,OK,81.300,0.44,15884.099993854761
195,OK,54.400,0.44,16005.899989977479
196,OK,116.600,0.44,15662.399993743747
197,OK,90.700,0.44,15904.000028967857
198,OK,72.200,0.44,15852.299984544516
199,OK,53.000,0.44,15903.800027444959
200,OK,53.700,0.44,15919.79997465387
201,OK,63.800,0.44,15811.999968718737
202,OK,54.500,0.44,15875.999990385026
203,OK,81.500,0.44,15946.800005622208
204,OK,109.900,0.44,15758.099965751171
205,OK,55.500,0.44,15943.400037940592
206,OK,62.300,0.44,15937.999996822327
207,OK,67.300,0.44,15872.000018134713
208,OK,66.100,0.44,15912.39997651428
209,OK,65.600,0.44,15936.09998235479
210,OK,69.700,0.44,15866.599977016449
211,OK,62.100,0.44,15893.900010269135
212,OK,79.000,0.44,15663.60000288114
213,OK,58.400,0.44,15908.500005025417
214,OK,67.000,0.44,15865.300025325269
215,OK,48.600,0.44,15925.69996137172
216,OK,55.700,0.44,15907.499997410923
217,OK,72.600,0.44,15886.000008322299
218,OK,79.600,0.44,15892.499999608845
219,OK,79.000,0.44,15870.200004428625
220,OK,87.700,0.44,15858.499973546714
221,OK,83.900,0.44,15841.200016438961
222,OK,95.400,0.44,15880.000020843
223,OK,56.500,0.44,15885.300002992153
224,OK,62.600,0.44,15912.700037006289
225,OK,54.300,0.44,15924.000006634742
226,OK,57.000,0.44,15921.499987598509
227,OK,58.000,0.44,15888.000023551285
228,OK,55.900,0.44,15903.300023637712
229,OK,67.100,0.44,15842.80002862215
230,OK,52.300,0.44,16050.000034738332
231,OK,90.300,0.44,15742.900024633855
232,OK,54.800,0.44,15907.299995888025
233,OK,55.600,0.44,15908.200002741069
234,OK,51.300,0.44,15881.999977864325
235,OK,49.800,0.44,16103.49997645244
236,OK,139.600,0.44,15726.200013887137
237,OK,77.500,0.44,15691.600041463971
238,OK,75.100,0.44,15963.399957399815
239,OK,60.700,0.44,15889.700036495924
240,OK,68.300,0.44,15891.999995801598
241,OK,57.400,0.44,15915.50000011921
242,OK,63.400,0.44,15931.999951135367
243,OK,61.700,0.44,15839.100000448525
244,OK,60.600,0.44,15912.000031676143
245,OK,61.500,0.44,15884.799999184906
246,OK,65.400,0.44,15900.200000032783
247,OK,85.800,0.44,15864.500019233674
248,OK,70.200,0.44,15963.100013323128
249,OK,64.700,0.44,15897.000033874065
250,OK,64.900,0.44,15847.400005441159
251,OK,63.900,0.44,15955.100010614842
252,OK,66.900,0.44,15907.499997410923
253,OK,69.300,0.44,15815.699996892363
254,OK,82.900,0.44,15804.40002726391
255,OK,74.500,0.44,15883.299987763166
256,OK,69.600,0.44,15912.900038529187
257,OK,60.900,0.44,15937.000047415495
258,OK,59.400,0.44,15855.599951464683
259,OK,81.200,0.44,15932.500013150275
260,OK,132.000,0.44,15694.100002292544
261,OK,80.100,0.44,15866.300032939762
262,OK,115.200,0.44,15849.199960939586
263,OK,91.800,0.44,15797.599975485355
264,OK,87.900,0.44,15830.399992410094
265,OK,99.200,0.44,15792.199992574751
266,OK,68.600,0.44,15924.600011203438
267,OK,97.500,0.44,15849.499963223934
268,OK,63.500,0.44,15940.400015097111
269,OK,127.400,0.44,15729.199978522956
270,OK,96.700,0.44,15824.200003407896
271,OK,97.400,0.44,15839.400002732873
272,OK,93.700,0.44,15878.700010944158
273,OK,167.900,0.44,15838.499995879829
274,OK,121.900,0.44,15767.29997759685
275,OK,148.100,0.44,15721.599978860468
276,OK,102.400,0.44,15907.599998172373
277,OK,99.700,0.44,15765.69996541366
278,OK,132.800,0.44,15786.999952979386
279,OK,117.800,0.44,15826.300019398332
280,OK,108.300,0.44,15793.099999427795
281,OK,101.300,0.44,15893.199946731329
282,OK,135.900,0.44,15686.800004914403
283,OK,78.000,0.44,15900.50000231713
284,OK,100.800,0.44,15852.400043513626
285,OK,127.300,0.44,15780.900022946298
286,OK,103.400,0.44,15811.100020073354
287,OK,106.100,0.44,15813.999983947724
288,OK,69.300,0.44,15893.700008746237
289,OK,78.400,0.44,15939.400007482618
290,OK,141.200,0.44,15680.000011343509
291,OK,94.500,0.44,15833.79996009171
292,OK,93.400,0.44,15852.199983783066
293,OK,69.100,0.44,15955.899958498776
294,OK,125.700,0.44,15725.799952633679
295,OK,114.300,0.44,15862.10000095889
296,OK,72.400,0.44,15840.399952139705
297,OK,94.900,0.44,15850.100026000291
298,OK,84.600,0.44,15880.600025411695
299,OK,105.600,0.44,15796.90002836287
300,OK,71.400,0.44,15917.800017632544
301,OK,112.400,0.44,16446.700028609484
302,OK,95.000,0.44,18910.00004252419
303,OK,123.600,0.44,11981.59996420145
304,OK,117.300,0.44,16172.099974937737
305,OK,132.700,0.44,17078.50000821054
306,OK,269.500,0.44,14048.399985767901
307,OK,98.000,0.44,35871.49997474626
308,OK,101.400,0.44,35759.399994276464
309,OK,92.500,0.44,7695.000036619604
310,OK,89.700,0.44,32659.999968018383
311,OK,121.300,0.44,26485.09998107329
312,OK,97.500,0.44,30356.900009792298
313,OK,85.400,0.44,36069.60002798587
314,OK,84.800,0.44,34935.600007884204
315,OK,98.100,0.44,14491.999987512827
316,OK,101.200,0.44,17286.199959926307
317,OK,102.400,0.44,15691.099979449064
318,OK,103.700,0.44,14626.50002213195
319,OK,134.800,0.44,16538.599971681833
320,OK,110.900,0.44,15146.100020501763
321,OK,123.200,0.44,15795.800019986928
322,OK,122.300,0.44,17127.50003207475
323,OK,94.100,0.44,17405.89999826625
324,OK,96.500,0.44,12818.89999518171
325,OK,93.500,0.44,15855.799952987581
326,OK,136.300,0.44,15881.999977864325
327,OK,99.000,0.44,17895.800003316253
328,OK,106.200,0.44,13678.000017534941
329,OK,104.000,0.44,16099.500004202127
330,OK,103.700,0.44,15539.800049737096
331,OK,93.800,0.44,15836.499980650842
332,OK,102.400,0.44,15828.200033865869
333,OK,97.200,0.44,15901.000006124377
334,OK,118.100,0.44,15785.800002049655
335,OK,127.900,0.44,15797.899977769703
336,OK,129.300,0.44,15794.00000628084
337,OK,102.000,0.44,15821.499982848763
338,OK,114.800,0.44,15781.500027514994
339,OK,103.700,0.44,15828.199975658208
340,OK,84.000,0.44,15843.699977267534
341,OK,64.100,0.44,15873.89997439459
342,OK,70.900,0.44,15898.400044534355
343,OK,82.400,0.44,15832.300006877631
344,OK,60.700,0.44,15920.200035907328
345,OK,103.100,0.44,15844.799985643476
346,OK,95.100,0.44,15801.30000365898
347,OK,75.900,0.44,15914.399991743267
348,OK,97.300,0.44,15829.899988602847
349,OK,87.500,0.44,15920.600038953125
350,OK,120.400,0.44,15798.40003978461
351,OK,119.700,0.44,15847.100003156811
352,OK,93.200,0.44,15809.300006367266
353,OK,87.800,0.44,15823.5999988392
354,OK,75.800,0.44,15876.499994192272
355,OK,97.300,0.44,16035.899985581636
356,OK,216.000,0.44,16734.100005123764
357,OK,133.500,0.44,14475.999982096255
358,OK,62.200,0.44,15837.500046472996
359,OK,53.800,0.44,16192.200011573732
360,OK,95.200,0.44,15622.09997791797
361,OK,76.900,0.44,15805.099974386394
362,OK,72.500,0.44,15879.400016274303
363,OK,78.600,0.44,15898.899990133941
