bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3807.500,0.44,15921.899990644306
1,OK,156.200,0.44,15949.60002694279
2,OK,67.300,0.44,15925.899962894619
3,OK,69.900,0.44,15920.900041237473
4,OK,66.800,0.44,15666.999970562756
5,OK,64.000,0.44,15902.399958577007
6,OK,67.100,0.44,43774.29996384308
7,OK,99.900,0.44,35934.89999184385
8,OK,77.500,0.44,15850.30002752319
9,OK,62.600,0.44,15872.60002270341
10,OK,91.000,0.44,16007.800004445016
11,OK,60.300,0.44,15905.999985989183
12,OK,77.900,0.44,15972.799970768392
13,OK,103.500,0.44,15841.600019484758
14,OK,132.800,0.44,15986.200014594942
15,OK,147.400,0.44,15795.899962540716
16,OK,145.000,0.44,15858.099970500916
17,OK,141.100,0.44,15493.19998594001
18,OK,138.000,0.44,15608.899993821979
19,OK,187.600,0.44,15474.900021217763
20,OK,129.100,0.44,15862.500004004687
21,OK,65.200,0.44,15845.099987927824
22,OK,61.900,0.44,15970.400010701269
23,OK,89.800,0.44,15762.099996209145
24,OK,57.800,0.44,15811.399964150041
25,OK,42.000,0.44,16131.200012750924
26,OK,191.000,0.44,15518.700005486608
27,OK,44.300,0.44,15909.000008832663
28,OK,44.200,0.44,15930.699999444187
29,OK,46.400,0.44,15895.600023213774
30,OK,60.800,0.44,15957.600029651076
31,OK,79.600,0.44,15829.099982511252
32,OK,53.600,0.44,15921.39998683706
33,OK,49.200,0.44,15907.90000045672
34,OK,70.600,0.44,15876.79999647662
35,OK,63.800,0.44,15857.999969739467
36,OK,39.500,0.44,15990.500047337264
37,OK,54.700,0.44,15943.299978971481
38,OK,42.800,0.44,15927.899978123605
39,OK,48.900,0.44,15891.299990471452
40,OK,42.400,0.44,15918.600023724139
41,OK,51.500,0.44,15920.199977699667
42,OK,47.100,0.44,15918.40002220124
43,OK,46.700,0.44,15937.099989969283
44,OK,58.600,0.44,15925.199957564473
45,OK,63.000,0.44,15885.400003753603
46,OK,72.900,0.44,15903.200022876263
47,OK,72.200,0.44,15873.600030317903
48,OK,59.500,0.44,15940.200013574213
49,OK,55.800,0.44,15904.799976851791
50,OK,57.200,0.44,15891.5999927558
51,OK,50.100,0.44,15956.100018229336
52,OK,50.800,0.44,15875.999990385026
53,OK,51.800,0.44,15930.599998682737
54,OK,55.100,0.44,15923.600003588945
55,OK,46.500,0.44,15917.700016871095
56,OK,43.500,0.44,15931.300004012883
57,OK,66.300,0.44,15895.600023213774
58,OK,47.100,0.44,15951.900044456124
59,OK,70.500,0.44,15895.900025498122
60,OK,77.900,0.44,15880.600025411695
61,OK,55.000,0.44,15939.300006721169
62,OK,115.700,0.44,15719.90002412349
63,OK,118.100,0.44,15809.400007128716
64,OK,54.100,0.44,16107.89995174855
65,OK,80.600,0.44,15662.599995266646
66,OK,105.000,0.44,15828.00003234297
67,OK,58.300,0.44,15924.000006634742
68,OK,96.400,0.44,15819.800028111786
69,OK,91.500,0.44,16089.599987026304
70,OK,92.800,0.44,15656.499948818237
71,OK,105.900,0.44,15748.400008305907
72,OK,143.700,0.44,15743.100026156753
73,OK,102.300,0.44,15855.500008910894
74,OK,104.500,0.44,15828.799980226904
75,OK,92.600,0.44,15859.599981922656
76,OK,68.800,0.44,15876.499994192272
77,OK,70.200,0.44,15847.500006202608
78,OK,64.400,0.44,15861.799998674542
79,OK,85.600,0.44,15908.899949863553
80,OK,60.600,0.44,15861.499996390194
81,OK,71.300,0.44,15882.999985478818
82,OK,60.100,0.44,15889.699978288263
83,OK,59.900,0.44,15914.499992504716
84,OK,91.800,0.44,15861.199994105846
85,OK,76.300,0.44,15885.500004515052
86,OK,92.000,0.44,15899.499994702637
87,OK,69.100,0.44,15822.899993509054
88,OK,111.600,0.44,15803.699963726103
89,OK,69.900,0.44,15904.099971521646
90,OK,61.000,0.44,15853.499993681908
91,OK,69.000,0.44,15962.70001027733
92,OK,56.300,0.44,15845.299989450723
93,OK,52.300,0.44,15986.60001764074
94,OK,57.500,0.44,15842.500026337802
95,OK,84.300,0.44,15873.499971348792
96,OK,79.100,0.44,15870.500006712973
97,OK,59.100,0.44,15839.200001209974
98,OK,48.400,0.44,15947.100007906556
99,OK,44.700,0.44,15961.40000037849
100,OK,67.300,0.44,15821.299981325865
101,OK,41.100,0.44,15889.899979811162
102,OK,48.500,0.44,15947.90001399815
103,OK,46.700,0.44,15973.600035067648
104,OK,64.100,0.44,15907.799999695271
105,OK,54.100,0.44,15859.10003632307
106,OK,55.500,0.44,15918.29996323213
107,OK,49.800,0.44,15905.399981420487
108,OK,67.100,0.44,15908.200002741069
109,OK,62.000,0.44,15894.60001559928
110,OK,58.000,0.44,15948.299958836287
111,OK,62.400,0.44,15894.399955868721
112,OK,52.000,0.44,16075.49999607727
113,OK,48.500,0.44,15692.900051362813
114,OK,51.000,0.44,15901.600010693073
115,OK,46.300,0.44,15923.500002827495
116,OK,94.700,0.44,15888.200025074184
117,OK,61.100,0.44,15951.699984725565
118,OK,56.300,0.44,15859.900042414665
119,OK,71.000,0.44,15837.099985219538
120,OK,61.200,0.44,15923.800005111843
121,OK,60.600,0.44,15911.400027107447
122,OK,77.600,0.44,15877.600002568215
123,OK,79.000,0.44,15864.199958741665
124,OK,56.000,0.44,15955.899958498776
125,OK,182.400,0.44,15861.499996390194
126,OK,53.400,0.44,15656.1000039801
127,OK,40.400,0.44,15944.699989631772
128,OK,96.400,0.44,15763.000003062189
129,OK,49.400,0.44,16261.400014627725
130,OK,59.000,0.44,15667.300031054765
131,OK,68.300,0.44,15894.699958153069
132,OK,79.100,0.44,15802.000008989125
133,OK,77.200,0.44,15922.999999020249
134,OK,57.500,0.44,15906.900051049888
135,OK,58.400,0.44,15924.499952234328
136,OK,60.400,0.44,15810.700017027557
137,OK,91.600,0.44,15881.19997177273
138,OK,46.900,0.44,15906.49998979643
139,OK,42.300,0.44,15945.199993439019
140,OK,48.600,0.44,15892.399998847395
141,OK,50.800,0.44,15981.100033968687
142,OK,66.100,0.44,15840.000007301569
143,OK,64.500,0.44,15927.899978123605
144,OK,56.200,0.44,15855.900011956692
145,OK,59.600,0.44,15953.499998431653
146,OK,69.500,0.44,15894.699958153069
147,OK,54.400,0.44,15885.8000067994
148,OK,49.200,0.44,15808.399999514222
149,OK,68.300,0.44,16002.700023818761
150,OK,49.000,0.44,15878.30000789836
151,OK,50.800,0.44,15918.600023724139
152,OK,52.200,0.44,15877.099998760968
153,OK,66.600,0.44,15909.40001187846
154,OK,54.900,0.44,15916.300006210804
155,OK,52.300,0.44,15872.700023464859
156,OK,32.800,0.44,15953.200054354966
157,OK,36.400,0.44,15974.999987520278
158,OK,45.600,0.44,15934.400027617812
159,OK,55.900,0.44,15915.50000011921
160,OK,45.400,0.44,15934.200026094913
161,OK,44.200,0.44,15936.700045131147
162,OK,52.000,0.44,15912.29997575283
163,OK,50.400,0.44,15917.100012302399
164,OK,48.900,0.44,15901.700011454523
165,OK,43.200,0.44,15936.699986923486
166,OK,40.200,0.44,15939.500008244067
167,OK,42.500,0.44,15962.600009515882
168,OK,43.900,0.44,15924.900013487786
169,OK,126.400,0.44,15777.799999341369
170,OK,73.800,0.44,15964.999969583005
171,OK,69.300,0.44,15877.800004091114
172,OK,58.500,0.44,15895.499964244664
173,OK,72.700,0.44,15881.800034549087
174,OK,78.000,0.44,15813.299978617579
175,OK,63.300,0.44,16031.700011808425
176,OK,84.000,0.44,15649.900014977902
177,OK,56.900,0.44,15949.999971780926
178,OK,72.200,0.44,15917.200013063848
179,OK,109.800,0.44,15847.500006202608
180,OK,52.400,0.44,15804.600028786808
181,OK,48.400,0.44,15949.999971780926
182,OK,67.300,0.44,16700.100037269294
183,OK,93.200,0.44,15023.999963887036
184,OK,56.300,0.44,15927.30003176257
185,OK,71.300,0.44,15898.699988611042
186,OK,63.200,0.44,15846.800000872463
187,OK,59.300,0.44,16010.699968319386
188,OK,128.700,0.44,15722.899988759309
189,OK,108.200,0.44,15833.200013730675
190,OK,56.800,0.44,15882.499981671572
191,OK,54.400,0.44,15903.900028206408
192,OK,50.600,0.44,15915.099997073412
193,OK,57.000,0.44,15928.299981169403
194,OK,61.100,0.44,15931.900008581579
195,OK,68.500,0.44,15817.100007552654
196,OK,75.200,0.44,15856.900019571185
197,OK,73.300,0.44,15888.500027358532
198,OK,76.100,0.44,15915.800002403557
199,OK,75.500,0.44,15837.499988265336
200,OK,91.000,0.44,15868.699993006885
201,OK,78.900,0.44,15779.00000847876
202,OK,72.500,0.44,15841.30001720041
203,OK,85.200,0.44,15874.399978201836
204,OK,84.600,0.44,15864.399960264564
205,OK,98.900,0.44,15810.10001245886
206,OK,78.700,0.44,15850.799973122776
207,OK,70.000,0.44,15890.799986664206
208,OK,61.000,0.44,15963.600017130375
209,OK,100.500,0.44,15819.799969904125
210,OK,106.000,0.44,15865.800029132515
211,OK,94.500,0.44,15806.199982762337
212,OK,93.400,0.44,15524.29998992011
213,OK,88.000,0.44,15858.200029470026
214,OK,86.300,0.44,15858.600032515824
215,OK,92.900,0.44,15856.000012718141
216,OK,59.600,0.44,15872.50002194196
217,OK,96.700,0.44,15863.800013903528
218,OK,91.600,0.44,16139.400016982108
219,OK,191.600,0.44,15346.39997407794
220,OK,71.000,0.44,16173.100040759891
221,OK,247.400,0.44,15519.399952609092
222,OK,112.500,0.44,15611.60001438111
223,OK,78.000,0.44,15840.500011108816
224,OK,184.700,0.44,15779.20001000166
225,OK,105.900,0.44,15830.200049094856
226,OK,142.300,0.44,15881.200029980391
227,OK,98.900,0.44,15598.30002952367
228,OK,84.400,0.44,15880.800026934594
229,OK,66.100,0.44,15872.50002194196
230,OK,72.900,0.44,15904.600033536553
231,OK,65.100,0.44,15872.000018134713
232,OK,61.400,0.44,15891.000046394765
233,OK,52.300,0.44,15905.00003658235
234,OK,49.300,0.44,15922.000049613416
235,OK,66.400,0.44,15837.699989788234
236,OK,50.300,0.44,15973.3000327833
237,OK,53.000,0.44,15922.099992167205
238,OK,72.000,0.44,15872.800024226308
239,OK,67.400,0.44,15860.899991821498
240,OK,71.200,0.44,16001.699957996607
241,OK,71.000,0.44,15833.800018299371
242,OK,60.400,0.44,15899.799996986985
243,OK,59.400,0.44,15921.40004504472
244,OK,60.400,0.44,15862.900007050484
245,OK,105.500,0.44,15862.699947319925
246,OK,55.300,0.44,15906.39998903498
247,OK,55.500,0.44,15917.300013825297
248,OK,75.400,0.44,15929.900051560253
249,OK,115.700,0.44,15748.300007544458
250,OK,112.100,0.44,15818.700019735843
251,OK,144.200,0.44,15821.599983610213
252,OK,157.300,0.44,15696.999966166914
253,OK,58.400,0.44,15828.299976419657
254,OK,63.300,0.44,15895.899967290461
255,OK,98.200,0.44,15862.400003243238
256,OK,67.700,0.44,15874.0000333637
257,OK,47.100,0.44,15959.69998743385
258,OK,85.200,0.44,15842.100023292005
259,OK,42.200,0.44,16128.899995237589
260,OK,44.900,0.44,15855.600009672344
261,OK,58.200,0.44,15982.599987182766
262,OK,58.500,0.44,16008.099948521703
263,OK,59.100,0.44,15926.400024909526
264,OK,65.000,0.44,15495.700004976243
265,OK,72.400,0.44,16153.500007931143
266,OK,104.100,0.44,16509.900044184178
267,OK,497.400,0.44,19515.299994964153
268,OK,121.000,0.44,10517.699993215501
269,OK,158.000,0.44,17083.09998502955
270,OK,258.200,0.44,13975.300011225045
271,OK,123.300,0.44,15879.199956543744
272,OK,114.200,0.44,15955.999959260225
273,OK,217.900,0.44,15422.299969941378
274,OK,95.700,0.44,15853.19999139756
275,OK,151.100,0.44,15908.600005786866
276,OK,100.400,0.44,15647.19999441877
