bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3960.900,0.44,15646.599989850074
1,OK,107.000,0.44,15876.399993430823
2,OK,83.400,0.44,15581.600018776953
3,OK,116.600,0.44,20729.00003986433
4,OK,110.100,0.44,10942.99997203052
5,OK,94.000,0.44,15992.700005881488
6,OK,94.000,0.44,17526.400042697787
7,OK,140.300,0.44,14017.800043802708
8,OK,134.000,0.44,15672.100009396672
9,OK,131.400,0.44,15808.199997991323
10,OK,100.300,0.44,15836.499980650842
11,OK,102.700,0.44,15825.700014829636
12,OK,97.300,0.44,15841.000014916062
13,OK,89.900,0.44,15842.200024053454
14,OK,101.200,0.44,15837.499988265336
15,OK,98.200,0.44,15851.299976930022
16,OK,108.300,0.44,15837.599989026785
17,OK,110.200,0.44,16361.40001937747
18,OK,109.400,0.44,15252.000011969358
19,OK,107.600,0.44,15874.500037170947
20,OK,91.900,0.44,15984.400000888854
21,OK,101.500,0.44,15673.79996413365
22,OK,75.200,0.44,15907.499997410923
23,OK,99.400,0.44,15812.200028449297
24,OK,108.400,0.44,15819.10002278164
25,OK,108.800,0.44,15844.699984882027
26,OK,101.000,0.44,15863.49995341152
27,OK,133.100,0.44,16567.899961955845
28,OK,118.500,0.44,15543.400018941611
29,OK,107.400,0.44,15541.100001428276
30,OK,117.100,0.44,15489.300014451146
31,OK,77.300,0.44,15857.999969739467
32,OK,78.800,0.44,15795.799961779267
33,OK,76.100,0.44,15903.200022876263
34,OK,68.600,0.44,15917.500015348196
35,OK,79.700,0.44,15896.20002778247
36,OK,83.600,0.44,15862.800006289035
37,OK,63.700,0.44,15888.099966105074
38,OK,92.200,0.44,15836.89998369664
39,OK,82.100,0.44,15816.500002983958
40,OK,54.600,0.44,15923.800005111843
41,OK,57.600,0.44,15903.799969237298
42,OK,62.700,0.44,15943.799982778728
43,OK,120.200,0.44,15809.100004844368
44,OK,78.200,0.44,15897.199977189302
45,OK,80.300,0.44,15796.200023032725
46,OK,107.700,0.44,15921.19998531416
47,OK,70.100,0.44,15907.000051811337
48,OK,65.600,0.44,15867.299982346594
49,OK,68.600,0.44,15895.000018645078
50,OK,67.700,0.44,15871.500014327466
51,OK,66.400,0.44,15887.700021266937
52,OK,57.500,0.44,15888.499969150871
53,OK,82.500,0.44,15906.099986750633
54,OK,59.500,0.44,15943.299978971481
55,OK,68.900,0.44,15827.200026251376
56,OK,57.300,0.44,15877.800004091114
57,OK,76.200,0.44,15924.500010441989
58,OK,104.000,0.44,15836.499980650842
59,OK,66.200,0.44,15925.100015010685
60,OK,63.300,0.44,15906.60004876554
61,OK,67.200,0.44,15854.299999773502
62,OK,67.100,0.44,15889.299975242466
