bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,4395.400,0.0,15307.299967389554
1,OK,675.800,0.44,14014.400017913431
2,OK,64.200,0.44,15921.599988359958
3,OK,104.800,0.44,16019.499977119267
4,OK,169.900,0.44,15313.80001688376
5,OK,94.800,0.44,15911.799971945584
6,OK,92.400,0.44,15851.80003894493
7,OK,117.700,0.44,15718.3000119403
8,OK,93.500,0.44,15814.799990039319
9,OK,85.800,0.44,15851.200034376234
10,OK,71.700,0.44,15936.899988446385
11,OK,65.300,0.44,15922.399994451553
12,OK,76.400,0.44,15876.199991907924
13,OK,89.500,0.44,15876.599994953722
14,OK,77.000,0.44,15899.699996225536
15,OK,74.600,0.44,15848.900016862899
16,OK,80.500,0.44,15854.400000534952
17,OK,51.200,0.44,15899.09999165684
18,OK,54.900,0.44,15894.900017883629
19,OK,58.400,0.44,15998.199989553541
20,OK,63.100,0.44,15868.599992245436
21,OK,45.900,0.44,15940.800018142909
22,OK,61.400,0.44,15842.200024053454
23,OK,57.000,0.44,15952.099987771362
24,OK,50.100,0.44,15880.800026934594
25,OK,50.300,0.44,15941.200021188706
26,OK,66.700,0.44,15919.80003286153
27,OK,60.400,0.44,15856.300015002489
28,OK,249.000,0.44,15716.399997472763
29,OK,104.800,0.44,15853.499993681908
30,OK,94.700,0.44,15858.500031754375
31,OK,69.800,0.44,15909.200010355562
32,OK,56.200,0.44,15861.099993344396
33,OK,42.000,0.44,15944.099985063076
34,OK,52.900,0.44,15964.700025506318
35,OK,50.400,0.44,15921.899990644306
36,OK,52.900,0.44,15905.799984466285
37,OK,49.500,0.44,15925.300016533583
38,OK,48.400,0.44,15879.300015512854
39,OK,47.300,0.44,15902.10001450032
40,OK,66.200,0.44,15948.800020851195
41,OK,79.600,0.44,15855.500008910894
42,OK,74.100,0.44,15939.300006721169
43,OK,55.800,0.44,15882.90004292503
44,OK,60.200,0.44,15897.70003920421
45,OK,71.200,0.44,15902.500017546117
46,OK,57.200,0.44,15923.900005873293
47,OK,52.200,0.44,15849.700022954494
48,OK,52.500,0.44,15959.199983626604
49,OK,54.100,0.44,15953.599999193102
50,OK,55.100,0.44,15863.200009334832
51,OK,59.100,0.44,15892.499999608845
52,OK,49.100,0.44,15939.500008244067
53,OK,52.000,0.44,15942.300029564649
54,OK,66.800,0.44,15857.900027185678
55,OK,81.500,0.44,15900.200000032783
56,OK,100.500,0.44,15855.300007387996
57,OK,80.900,0.44,15887.399960774928
58,OK,56.400,0.44,15893.20000493899
59,OK,52.800,0.44,15895.799966529012
60,OK,60.200,0.44,15932.700014673173
61,OK,63.300,0.44,15894.000011030585
62,OK,90.300,0.44,15841.40001796186
63,OK,77.600,0.44,15879.500017035753
64,OK,55.600,0.44,15948.10001552105
65,OK,59.500,0.44,15913.400042336434
66,OK,58.600,0.44,15907.399996649474
67,OK,72.800,0.44,15915.600000880659
68,OK,58.500,0.44,15889.699978288263
69,OK,56.400,0.44,15842.999971937388
70,OK,92.200,0.44,15962.000004947186
71,OK,63.800,0.44,15839.80000577867
72,OK,68.700,0.44,15881.200029980391
73,OK,78.200,0.44,15909.800014924258
74,OK,62.700,0.44,15926.100022625178
75,OK,75.500,0.44,15894.900017883629
76,OK,68.700,0.44,15917.199954856187
77,OK,66.300,0.44,15852.399985305965
78,OK,70.000,0.44,15893.30000570044
79,OK,68.900,0.44,15881.600033026189
80,OK,57.200,0.44,15906.299988273531
81,OK,75.100,0.44,15887.899964582175
82,OK,80.700,0.44,15901.100006885827
83,OK,64.900,0.44,15845.399990212172
84,OK,68.000,0.44,15857.80002642423
85,OK,52.000,0.44,15916.400006972253
86,OK,42.200,0.44,15987.400023732334
87,OK,96.200,0.44,15788.399963639677
88,OK,81.400,0.44,15947.399951983243
89,OK,60.700,0.44,15920.999983791262
90,OK,71.500,0.44,15829.799987841398
91,OK,51.300,0.44,15987.800026778132
92,OK,103.100,0.44,15794.00000628084
93,OK,49.500,0.44,15918.799967039376
94,OK,59.700,0.44,15876.099991146475
95,OK,61.900,0.44,15905.299980659038
96,OK,66.600,0.44,15952.199988532811
97,OK,50.600,0.44,15887.900022789836
98,OK,51.700,0.44,15908.900008071214
99,OK,52.800,0.44,15910.9000233002
100,OK,52.000,0.44,15959.90004716441
101,OK,63.600,0.44,15756.79995585233
102,OK,58.100,0.44,15879.700018558651
103,OK,58.600,0.44,15955.200011376292
