bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3907.400,0.44,15855.200006626546
1,OK,144.900,0.44,15778.9999502711
2,OK,173.800,0.44,15682.499972172081
3,OK,133.400,0.44,15802.399953827262
4,OK,78.700,0.44,15845.100046135485
5,OK,102.100,0.44,15879.69996035099
6,OK,117.400,0.44,15823.5999988392
7,OK,94.600,0.44,15846.900001633912
8,OK,91.700,0.44,15844.900044612586
9,OK,67.800,0.44,15872.60002270341
10,OK,72.700,0.44,15872.50002194196
11,OK,91.300,0.44,15854.400000534952
12,OK,47.200,0.44,15970.09995020926
13,OK,58.700,0.44,15938.900003675371
14,OK,61.200,0.44,15894.500014837831
15,OK,136.000,0.44,15763.000003062189
16,OK,126.500,0.44,15795.200015418231
17,OK,85.100,0.44,15939.20000595972
18,OK,63.700,0.44,15832.600009161979
19,OK,41.300,0.44,15948.199958074838
20,OK,56.000,0.44,15976.800001226366
21,OK,128.800,0.44,15712.499967776239
22,OK,103.200,0.44,15889.899979811162
23,OK,66.400,0.44,15900.800004601479
24,OK,68.800,0.44,15904.299973044544
25,OK,74.900,0.44,15929.699991829693
26,OK,102.200,0.44,16039.300011470914
27,OK,137.500,0.44,15598.899975884706
28,OK,73.100,0.44,16023.799951653928
29,OK,66.500,0.44,15658.700023777783
30,OK,79.200,0.44,16227.799991611391
31,OK,60.000,0.44,15939.10000519827
32,OK,107.500,0.44,15558.499959297478
33,OK,108.900,0.44,16155.800025444478
34,OK,89.000,0.44,16036.399989388883
35,OK,88.400,0.44,15267.999959178269
36,OK,88.400,0.44,15913.500043097883
37,OK,75.200,0.44,15983.799996320158
38,OK,144.500,0.44,15629.700035788119
39,OK,65.300,0.44,15928.399981930852
40,OK,175.000,0.44,15591.599978506565
41,OK,45.900,0.44,16035.800043027848
42,OK,67.500,0.44,15836.79998293519
43,OK,49.300,0.44,15952.199988532811
44,OK,74.700,0.44,15895.899967290461
45,OK,77.400,0.44,15928.600041661412
46,OK,78.200,0.44,15821.099979802966
47,OK,106.400,0.44,15841.999964322895
48,OK,109.600,0.44,15861.299994867295
49,OK,98.500,0.44,15805.69997895509
50,OK,91.400,0.44,15909.200010355562
51,OK,87.400,0.44,15850.299969315529
52,OK,118.500,0.44,15756.899956613779
53,OK,93.000,0.44,15871.700015850365
54,OK,99.100,0.44,15861.599997151643
55,OK,97.400,0.44,15814.59998851642
56,OK,92.900,0.44,15853.299992159009
57,OK,98.100,0.44,15855.400008149445
58,OK,98.600,0.44,15853.399992920458
59,OK,123.500,0.44,15852.299984544516
60,OK,131.900,0.44,15743.099967949092
61,OK,114.300,0.44,15843.699977267534
62,OK,89.700,0.44,15961.500001139939
63,OK,68.800,0.44,15791.199984960258
64,OK,92.000,0.44,15911.799971945584
65,OK,85.800,0.44,15876.399993430823
66,OK,89.000,0.44,15820.400032680482
67,OK,117.200,0.44,15846.700000111014
68,OK,104.800,0.44,15838.099992834032
69,OK,102.500,0.44,15804.499969817698
70,OK,104.700,0.44,15866.400033701211
71,OK,78.800,0.44,15870.90000975877
72,OK,127.900,0.44,15788.099961355329
73,OK,117.300,0.44,15831.500000786036
74,OK,121.500,0.44,15789.099968969822
75,OK,140.800,0.44,15779.600013047457
76,OK,113.100,0.44,15832.800010684878
77,OK,100.100,0.44,15813.999983947724
78,OK,105.400,0.44,15844.29998183623
79,OK,108.500,0.44,15855.200006626546
80,OK,97.900,0.44,15835.3999722749
81,OK,96.100,0.44,15820.500033441931
82,OK,87.900,0.44,15869.099996052682
83,OK,80.500,0.44,15869.900002144277
84,OK,84.100,0.44,15879.600017797202
85,OK,109.200,0.44,15845.899994019419
86,OK,98.200,0.44,15853.500051889569
87,OK,119.500,0.44,15828.899980988353
88,OK,114.500,0.44,15818.699961528182
89,OK,97.800,0.44,15802.300011273474
90,OK,77.500,0.44,15878.50000942126
91,OK,111.300,0.44,15838.999999687076
92,OK,110.200,0.44,15814.80004824698
93,OK,241.200,0.44,15740.200004074723
94,OK,97.600,0.44,15802.300011273474
95,OK,71.400,0.44,15903.200022876263
96,OK,85.400,0.44,15873.89997439459
97,OK,73.100,0.44,15851.80003894493
98,OK,93.100,0.44,15880.499966442585
99,OK,113.400,0.44,15831.700002308935
100,OK,87.200,0.44,15875.099983531982
101,OK,132.600,0.44,15641.700010746717
102,OK,115.700,0.44,15834.00001982227
103,OK,156.300,0.44,15757.200017105788
104,OK,103.400,0.44,15836.79998293519
105,OK,104.700,0.44,15864.200016949326
106,OK,93.400,0.44,15811.100020073354
107,OK,79.600,0.44,15889.099973719567
108,OK,79.100,0.44,15842.999971937388
109,OK,98.400,0.44,15848.500013817102
110,OK,107.400,0.44,15864.89996407181
111,OK,104.200,0.44,15861.300053074956
112,OK,82.100,0.44,15816.800005268306
113,OK,98.400,0.44,15863.29995188862
114,OK,100.300,0.44,15825.400012545288
115,OK,95.100,0.44,15909.40001187846
116,OK,104.400,0.44,15821.300039533526
117,OK,120.400,0.44,15785.800002049655
118,OK,108.300,0.44,15835.899976082146
119,OK,86.700,0.44,15841.000014916062
120,OK,90.600,0.44,15848.299954086542
121,OK,87.000,0.44,15877.199999522418
122,OK,95.700,0.44,15851.999982260168
123,OK,97.700,0.44,15894.199954345822
124,OK,74.100,0.44,15824.200003407896
125,OK,70.100,0.44,15912.49997727573
126,OK,118.700,0.44,15806.300041731447
127,OK,137.500,0.44,15794.699953403324
128,OK,73.900,0.44,15890.19998209551
129,OK,119.200,0.44,15786.200005095452
130,OK,150.600,0.44,15806.000039447099
131,OK,114.500,0.44,15811.600023880601
132,OK,118.800,0.44,15833.79996009171
133,OK,123.100,0.44,15800.099994521588
134,OK,109.700,0.44,15823.5999988392
135,OK,106.600,0.44,15845.999994780868
136,OK,110.900,0.44,15836.099977605045
137,OK,108.000,0.44,15804.900031071156
138,OK,118.100,0.44,15833.600016776472
139,OK,79.000,0.44,15919.400029815733
140,OK,137.400,0.44,15750.499966088682
141,OK,114.200,0.44,15869.599999859929
142,OK,179.700,0.44,15626.40001066029
143,OK,113.800,0.44,15828.499977942556
144,OK,116.400,0.44,15819.300024304539
145,OK,88.400,0.44,15885.70000603795
146,OK,114.300,0.44,15808.099997229874
147,OK,70.600,0.44,15887.20001745969
148,OK,80.200,0.44,15891.999995801598
149,OK,75.100,0.44,15893.700008746237
150,OK,96.100,0.44,15855.400008149445
151,OK,90.800,0.44,15825.500013306737
152,OK,89.700,0.44,15858.199971262366
153,OK,90.500,0.44,15888.799971435219
154,OK,110.100,0.44,15818.800020497292
155,OK,95.300,0.44,15978.700015693903
156,OK,94.900,0.44,15710.90001380071
