bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,3884.600,0.44,9003.59998922795
1,OK,138.000,0.44,15331.200032960624
2,OK,66.400,0.44,15961.900004185736
3,OK,113.300,0.44,15691.299980971962
4,OK,116.500,0.44,15810.799959581345
5,OK,99.000,0.44,15833.600016776472
6,OK,57.000,0.44,15912.40003472194
7,OK,70.100,0.44,15895.399963483214
8,OK,69.000,0.44,15895.99996805191
9,OK,52.700,0.44,15919.100027531385
10,OK,53.900,0.44,15928.299981169403
11,OK,64.900,0.44,15890.800044871867
12,OK,74.900,0.44,15870.79995078966
13,OK,54.500,0.44,15899.899997748435
14,OK,50.600,0.44,15927.000029478222
15,OK,57.400,0.44,15910.9000233002
16,OK,57.400,0.44,15908.200002741069
17,OK,52.200,0.44,15914.999996311963
18,OK,52.200,0.44,15922.300051897764
19,OK,49.400,0.44,15910.700021777302
20,OK,50.300,0.44,15931.60000629723
21,OK,65.700,0.44,15906.400047242641
22,OK,63.600,0.44,15906.199987512082
23,OK,52.600,0.44,15914.099989458919
24,OK,52.000,0.44,15916.300006210804
25,OK,50.700,0.44,15898.699988611042
26,OK,109.300,0.44,15867.400041315705
27,OK,76.200,0.44,15885.100001469254
28,OK,68.100,0.44,15872.199961449951
29,OK,64.200,0.44,15914.400049950927
30,OK,67.400,0.44,15896.699973382056
31,OK,86.100,0.44,15877.400001045316
32,OK,78.000,0.44,15866.199973970652
33,OK,72.300,0.44,15894.400014076382
34,OK,77.300,0.44,15887.100016698241
35,OK,65.500,0.44,15875.300043262541
36,OK,63.900,0.44,15918.30002143979
37,OK,86.500,0.44,15854.800003580749
38,OK,85.500,0.44,15881.399973295629
39,OK,81.400,0.44,15842.200024053454
40,OK,81.800,0.44,15865.600027609617
41,OK,60.600,0.44,15913.699986413121
42,OK,67.200,0.44,15892.199997324497
43,OK,54.600,0.44,15907.100052572787
44,OK,61.300,0.44,15916.69995104894
45,OK,66.600,0.44,15905.399981420487
46,OK,67.000,0.44,15910.400019492954
47,OK,76.600,0.44,15958.799980580807
48,OK,65.400,0.44,15820.39997447282
49,OK,60.900,0.44,15873.600030317903
50,OK,59.100,0.44,15915.50000011921
51,OK,63.300,0.44,15897.400036919862
52,OK,63.800,0.44,15918.50002296269
53,OK,63.200,0.44,15879.500017035753
54,OK,64.100,0.44,15896.700031589717
55,OK,64.500,0.44,15901.400009170175
56,OK,59.400,0.44,15912.099974229932
57,OK,106.800,0.44,15864.500019233674
58,OK,61.200,0.44,15889.300033450127
59,OK,62.800,0.44,15888.70002888143
60,OK,75.000,0.44,15886.300010606647
61,OK,68.100,0.44,15901.89995476976
62,OK,76.200,0.44,15880.800026934594
63,OK,62.900,0.44,15897.500037681311
64,OK,49.600,0.44,15912.099974229932
65,OK,58.500,0.44,15884.599997662008
66,OK,63.400,0.44,15924.500010441989
67,OK,62.200,0.44,15885.300002992153
68,OK,60.700,0.44,15908.500005025417
69,OK,60.000,0.44,15886.100009083748
70,OK,55.800,0.44,15921.799989882857
71,OK,55.100,0.44,15947.90001399815
72,OK,76.000,0.44,15842.999971937388
73,OK,63.900,0.44,15913.699986413121
74,OK,60.700,0.44,15909.300011117011
75,OK,71.500,0.44,15883.999993093312
76,OK,84.100,0.44,15896.10002702102
77,OK,59.600,0.44,15901.700011454523
78,OK,64.600,0.44,15894.000011030585
79,OK,51.600,0.44,15910.600021015853
80,OK,62.900,0.44,15914.699994027615
81,OK,68.200,0.44,15863.400010857731
82,OK,54.300,0.44,15907.499997410923
83,OK,63.000,0.44,15885.59994706884
