bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,2419.900,0.44,2645.400003530085
1,OK,77.900,0.44,15616.09999043867
2,OK,77.900,0.44,15942.799975164235
3,OK,110.000,0.44,15918.499964755028
4,OK,63.300,0.44,15842.000022530556
5,OK,67.100,0.44,15956.80002355948
6,OK,223.900,0.44,15649.700013455003
7,OK,221.600,0.44,15579.499944578856
8,OK,133.900,0.44,15717.200003564358
9,OK,51.500,0.44,15956.200018990785
10,OK,56.000,0.44,15876.099991146475
11,OK,55.200,0.44,15920.800040476024
12,OK,73.600,0.44,15926.000021863729
13,OK,68.600,0.44,15810.399956535548
14,OK,56.100,0.44,16035.799984820187
15,OK,68.000,0.44,15823.5999988392
16,OK,53.000,0.44,15953.399997670203
17,OK,71.500,0.44,15866.000030655414
18,OK,61.800,0.44,15909.800014924258
19,OK,55.400,0.44,15926.700027193874
20,OK,60.300,0.44,15926.599968224764
21,OK,55.400,0.44,15854.500001296401
22,OK,52.800,0.44,15948.700020089746
23,OK,58.600,0.44,15871.00001052022
24,OK,57.900,0.44,15874.400036409497
25,OK,32.200,0.44,15990.799991413951
26,OK,67.700,0.44,15885.300002992153
27,OK,81.200,0.44,15902.10001450032
28,OK,91.500,0.44,15860.799991060048
29,OK,74.100,0.44,15940.000012051314
30,OK,71.600,0.44,15854.800003580749
31,OK,68.800,0.44,15872.199961449951
32,OK,54.000,0.44,15872.100018896163
33,OK,63.900,0.44,15960.599994286895
34,OK,65.000,0.44,15876.099991146475
35,OK,48.200,0.44,15989.39998075366
36,OK,61.600,0.44,15862.600004766136
37,OK,64.600,0.44,15897.70003920421
38,OK,63.800,0.44,15908.699948340654
39,OK,75.800,0.44,15861.699997913092
40,OK,51.300,0.44,15893.10000417754
41,OK,40.700,0.44,15954.0000022389
42,OK,61.600,0.44,15912.700037006289
43,OK,47.100,0.44,15926.700027193874
44,OK,50.100,0.44,15953.499998431653
45,OK,59.800,0.44,15869.599999859929
46,OK,50.900,0.44,15919.89997541532
47,OK,56.100,0.44,15944.499988108873
48,OK,53.400,0.44,15936.700045131147
49,OK,90.200,0.44,15829.800046049058
50,OK,82.500,0.44,15836.199978366494
51,OK,80.800,0.44,15896.499971859157
52,OK,61.600,0.44,15872.700023464859
53,OK,100.600,0.44,15864.500019233674
54,OK,78.400,0.44,15939.20000595972
55,OK,76.300,0.44,15932.200010865927
56,OK,70.600,0.44,15813.600039109588
57,OK,69.400,0.44,15864.99996483326
58,OK,55.200,0.44,15980.799973476678
59,OK,80.900,0.44,15840.700012631714
60,OK,62.800,0.44,15841.09995746985
61,OK,61.300,0.44,15930.599998682737
62,OK,66.200,0.44,15882.099978625774
63,OK,53.400,0.44,15926.900028716773
64,OK,55.500,0.44,15909.40001187846
65,OK,57.400,0.44,15884.39999613911
66,OK,86.400,0.44,15867.099980823696
67,OK,49.400,0.44,15900.800004601479
68,OK,48.500,0.44,15947.200008668005
69,OK,64.900,0.44,15905.500040389597
70,OK,49.500,0.44,15928.299981169403
71,OK,52.300,0.44,15909.000008832663
72,OK,53.100,0.44,15881.700033787638
73,OK,59.000,0.44,15971.900022123009
74,OK,109.200,0.44,15820.59997599572
75,OK,93.000,0.44,15824.900008738041
76,OK,103.400,0.44,15876.599994953722
77,OK,77.000,0.44,15871.399955358356
78,OK,93.300,0.44,15866.70003598556
79,OK,104.900,0.44,15852.299984544516
80,OK,108.300,0.44,15852.300042752177
81,OK,112.600,0.44,15799.399989191443
82,OK,107.800,0.44,15788.00001880154
83,OK,83.100,0.44,15866.599977016449
84,OK,73.000,0.44,15915.29999859631
85,OK,97.100,0.44,15842.100023292005
86,OK,72.200,0.44,15856.700018048286
87,OK,84.600,0.44,15865.400026086718
88,OK,62.600,0.44,15960.099990479648
89,OK,62.300,0.44,15840.700012631714
90,OK,55.300,0.44,15912.29997575283
91,OK,59.600,0.44,15954.500006046146
92,OK,138.500,0.44,15762.099996209145
93,OK,61.600,0.44,15909.200010355562
94,OK,71.500,0.44,15869.099996052682
95,OK,75.100,0.44,15854.800003580749
96,OK,67.300,0.44,15900.300000794232
97,OK,92.400,0.44,15892.099996563047
98,OK,62.500,0.44,15936.999989207834
99,OK,61.600,0.44,15843.200031667948
100,OK,60.400,0.44,15974.900044966489
101,OK,63.900,0.44,15782.999980729073
102,OK,63.800,0.44,15865.00002304092
103,OK,70.000,0.44,15892.199997324497
104,OK,62.200,0.44,15918.699966277927
105,OK,78.200,0.44,15827.700030058622
106,OK,71.900,0.44,15932.800015434623
107,OK,57.100,0.44,15956.80002355948
108,OK,69.900,0.44,15917.899960186332
109,OK,79.700,0.44,15799.89999299869
110,OK,75.200,0.44,15880.799968726933
111,OK,69.600,0.44,15946.800005622208
112,OK,63.900,0.44,15733.499953057617
