bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,5683.000,0.44,16366.299998480827
1,OK,144.400,0.44,15519.200009293854
2,OK,94.400,0.44,15813.999983947724
3,OK,76.700,0.44,16058.399982284755
4,OK,396.300,0.44,23682.400002144277
5,OK,130.900,0.44,7828.400004655123
6,OK,242.500,0.44,15301.099978387356
7,OK,74.800,0.44,15824.600006453693
8,OK,322.600,0.44,15558.600018266588
9,OK,79.700,0.44,15790.700039360672
10,OK,67.800,0.44,15913.79998717457
11,OK,99.100,0.44,15812.900033779442
12,OK,69.100,0.44,15990.499989129603
13,OK,70.600,0.44,15827.800030820072
14,OK,79.700,0.44,15877.700003329664
15,OK,69.800,0.44,15896.09996881336
16,OK,96.500,0.44,15873.100026510656
17,OK,62.100,0.44,15912.899980321527
18,OK,66.400,0.44,15874.399978201836
19,OK,60.700,0.44,15787.000011187047
20,OK,72.000,0.44,15939.400007482618
21,OK,54.600,0.44,15924.999956041574
22,OK,58.700,0.44,15897.399978712201
23,OK,53.600,0.44,15949.29996645078
24,OK,53.900,0.44,15926.400024909526
25,OK,68.600,0.44,15930.699999444187
26,OK,60.300,0.44,15812.500030733645
27,OK,71.700,0.44,15910.300018731505
28,OK,58.300,0.44,15907.699998933822
29,OK,80.600,0.44,15889.300033450127
30,OK,81.500,0.44,15801.100002136081
31,OK,70.000,0.44,15956.300019752234
32,OK,50.800,0.44,15916.600008495152
33,OK,54.700,0.44,15913.499984890223
34,OK,53.500,0.44,15908.10000197962
35,OK,49.300,0.44,15917.999960947782
36,OK,49.700,0.44,15922.599995974451
37,OK,84.000,0.44,15836.300037335604
38,OK,56.800,0.44,16000.800009351224
39,OK,70.100,0.44,15849.300019908696
40,OK,69.100,0.44,15943.199978210032
41,OK,64.300,0.44,15844.499983359128
42,OK,72.800,0.44,15795.799961779267
43,OK,79.700,0.44,15983.59999479726
44,OK,67.500,0.44,15877.700003329664
45,OK,59.500,0.44,15912.100032437593
46,OK,59.200,0.44,15897.299977950752
47,OK,66.200,0.44,15887.800022028387
48,OK,64.200,0.44,15912.60003624484
49,OK,59.400,0.44,15897.500037681311
50,OK,65.400,0.44,15911.400027107447
51,OK,61.800,0.44,15865.999972447753
52,OK,65.800,0.44,15906.39998903498
53,OK,59.800,0.44,15887.699963059276
54,OK,181.000,0.44,15812.100027687848
55,OK,62.400,0.44,15862.400003243238
56,OK,63.600,0.44,15843.800036236644
57,OK,91.800,0.44,15947.600011713803
58,OK,66.000,0.44,15868.899994529784
59,OK,89.400,0.44,15881.799976341426
60,OK,60.500,0.44,15894.100011792034
61,OK,80.400,0.44,15892.700001131743
62,OK,80.000,0.44,15801.700006704777
63,OK,57.100,0.44,15986.800019163638
64,OK,68.100,0.44,15846.700000111014
65,OK,72.600,0.44,15922.8999982588
66,OK,53.800,0.44,15922.199992928654
