bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,ERRO,1922.200,0.44,10013.000050093979
1,ERRO,90.000,0.44,15712.700027506799
2,ERRO,98.500,0.44,15846.800000872463
3,ERRO,69.200,0.44,15931.300004012883
4,ERRO,58.400,0.44,15884.899999946356
5,ERRO,63.000,0.44,15861.399995628744
6,ERRO,92.700,0.44,15935.500035993755
7,ERRO,86.400,0.44,15904.699976090342
8,ERRO,72.300,0.44,15905.199979897588
9,ERRO,69.000,0.44,15909.40001187846
10,ERRO,75.500,0.44,15858.300030231476
11,ERRO,62.700,0.44,15940.59995841235
12,ERRO,68.800,0.44,15869.49999909848
13,ERRO,96.300,0.44,15822.499990463257
14,ERRO,104.600,0.44,15891.899995040148
15,ERRO,72.300,0.44,15846.499998588115
16,ERRO,85.800,0.44,15921.699989121407
17,ERRO,72.500,0.44,15868.299989961088
18,ERRO,59.700,0.44,15918.600023724139
19,ERRO,54.900,0.44,15894.400014076382
20,ERRO,89.600,0.44,15911.499969661236
21,ERRO,69.100,0.44,15904.500032775104
22,ERRO,69.900,0.44,15811.199962627143
23,ERRO,63.500,0.44,15841.699962038547
24,ERRO,101.400,0.44,15799.099986907095
25,ERRO,125.000,0.44,15867.99998767674
26,ERRO,67.300,0.44,15903.400024399161
27,ERRO,79.400,0.44,15869.700000621378
28,ERRO,53.700,0.44,15954.0000022389
29,ERRO,76.500,0.44,15915.600000880659
30,ERRO,68.000,0.44,15885.400003753603
31,ERRO,66.100,0.44,15895.100019406527
32,ERRO,69.800,0.44,15785.600000526756
33,ERRO,69.400,0.44,15996.90003786236
34,ERRO,64.500,0.44,15908.200002741069
35,ERRO,77.600,0.44,15897.100034635514
36,ERRO,66.600,0.44,15777.399996295571
37,ERRO,67.100,0.44,15879.199956543744
38,ERRO,83.500,0.44,15938.500000629574
39,ERRO,67.900,0.44,15911.799971945584
40,ERRO,61.300,0.44,15924.20000815764
41,ERRO,77.200,0.44,15902.500017546117
42,ERRO,62.900,0.44,15888.600028119981
43,ERRO,79.500,0.44,15811.200020834804
44,ERRO,66.100,0.44,15934.59997093305
45,ERRO,60.800,0.44,15917.100012302399
46,ERRO,61.400,0.44,15889.699978288263
47,ERRO,100.400,0.44,15818.700019735843
48,ERRO,66.700,0.44,15927.499975077808
49,ERRO,70.700,0.44,15914.999996311963
50,ERRO,57.700,0.44,15865.700028371066
51,ERRO,75.600,0.44,15965.000027790666
52,ERRO,158.500,0.44,15756.300010252744
53,ERRO,76.300,0.44,15860.399988014251
54,ERRO,81.100,0.44,15906.39998903498
55,ERRO,55.800,0.44,15876.699995715171
56,ERRO,59.700,0.44,15926.799969747663
57,ERRO,64.700,0.44,15842.500026337802
58,ERRO,68.900,0.44,15944.299986585975
59,ERRO,71.800,0.44,15861.699997913092
60,ERRO,54.900,0.44,15900.70000384003
61,ERRO,50.900,0.44,15928.6999842152
62,ERRO,52.900,0.44,15923.700004350394
63,ERRO,62.800,0.44,15911.00002406165
64,ERRO,71.000,0.44,15927.499975077808
65,ERRO,68.100,0.44,15933.30001924187
66,ERRO,70.300,0.44,15837.599989026785
67,ERRO,65.200,0.44,15886.100009083748
68,ERRO,92.400,0.44,15862.800006289035
69,ERRO,84.900,0.44,15854.60000205785
70,ERRO,61.000,0.44,15894.200012553483
71,ERRO,99.000,0.44,16295.699984766543
72,ERRO,114.400,0.44,15463.199990335852
73,ERRO,124.000,0.44,15774.49997421354
74,ERRO,119.100,0.44,16635.000007227063
75,ERRO,113.800,0.44,14994.500030297786
76,ERRO,77.700,0.44,15922.199992928654
77,ERRO,128.200,0.44,15691.899985540658
78,ERRO,158.600,0.44,15798.599983099848
79,ERRO,127.100,0.44,17735.0000012666
80,ERRO,169.500,0.44,13876.500015612692
81,ERRO,118.700,0.44,15781.199967022985
82,ERRO,102.600,0.44,15816.700004506856
83,ERRO,115.000,0.44,15809.700009413064
84,ERRO,110.500,0.44,15868.899994529784
85,ERRO,111.800,0.44,15809.100004844368
86,ERRO,91.600,0.44,15855.100005865097
87,ERRO,84.800,0.44,15850.20002676174
88,ERRO,91.100,0.44,15867.000038269907
89,ERRO,121.200,0.44,15845.69999249652
90,ERRO,87.700,0.44,15875.700046308339
91,ERRO,97.700,0.44,15812.100027687848
92,ERRO,84.400,0.44,15803.099959157407
93,ERRO,88.000,0.44,15867.699985392392
94,ERRO,64.100,0.44,15942.300029564649
95,ERRO,58.000,0.44,15939.600009005517
96,ERRO,64.700,0.44,15918.100019916892
97,ERRO,70.600,0.44,15911.200025584549
98,ERRO,73.000,0.44,15787.200012709945
99,ERRO,96.900,0.44,16005.300043616444
100,ERRO,87.500,0.44,15738.599991891533
101,ERRO,91.800,0.44,15814.49998775497
102,ERRO,99.500,0.44,15840.400010347366
103,ERRO,87.600,0.44,15788.400021847337
104,ERRO,76.200,0.44,15873.500029556453
105,ERRO,104.500,0.44,15898.499987088144
106,ERRO,183.100,0.44,15761.1999893561
107,ERRO,74.900,0.44,15913.89998793602
108,ERRO,72.000,0.44,15859.09997811541
109,ERRO,73.900,0.44,15802.500012796372
110,ERRO,82.900,0.44,15950.199973303825
111,ERRO,70.900,0.44,15826.60002168268
112,ERRO,104.400,0.44,15803.299960680306
113,ERRO,63.800,0.44,15899.09999165684
114,ERRO,67.500,0.44,15944.89999115467
115,ERRO,94.500,0.44,15865.999972447753
116,ERRO,125.600,0.44,15809.700009413064
117,ERRO,61.300,0.44,15897.300036158413
118,ERRO,96.500,0.44,15868.999995291233
119,ERRO,105.500,0.44,15857.000020332634
120,ERRO,82.100,0.44,15895.99996805191
121,ERRO,58.300,0.44,16036.699991673231
122,ERRO,61.000,0.44,15744.800039101392
123,ERRO,70.000,0.44,15836.500038858503
124,ERRO,76.400,0.44,15992.40000359714
125,ERRO,57.300,0.44,15926.700027193874
126,ERRO,66.500,0.44,15815.199993085116
127,ERRO,52.200,0.44,15908.800007309765
128,ERRO,54.100,0.44,15947.200008668005
129,ERRO,70.800,0.44,15942.0000272803
130,ERRO,80.400,0.44,15867.799986153841
131,ERRO,77.900,0.44,15838.29999435693
132,ERRO,72.400,0.44,15965.700033120811
133,ERRO,66.600,0.44,15879.100013989955
134,ERRO,62.200,0.44,15932.900016196072
135,ERRO,78.100,0.44,15861.199994105846
136,ERRO,96.600,0.44,15870.800008997321
137,ERRO,70.100,0.44,15870.700008235872
138,ERRO,55.700,0.44,15871.700015850365
139,ERRO,62.300,0.44,15922.8999982588
140,ERRO,67.900,0.44,15918.899967800826
141,ERRO,59.700,0.44,15949.699969496578
142,ERRO,83.400,0.44,15830.99999697879
143,ERRO,54.900,0.44,15888.500027358532
144,ERRO,47.500,0.44,15965.000027790666
145,ERRO,53.700,0.44,15887.30001822114
146,ERRO,52.900,0.44,15918.200020678341
147,ERRO,52.000,0.44,15880.700026173145
148,ERRO,211.500,0.44,15644.399973098189
149,ERRO,93.700,0.44,15975.399990566075
150,ERRO,70.900,0.44,15875.799988862127
151,ERRO,71.400,0.44,15882.599982433021
152,ERRO,70.700,0.44,15901.900012977421
153,ERRO,75.100,0.44,15907.499997410923
154,ERRO,73.300,0.44,15865.999972447753
155,ERRO,84.400,0.44,15774.299972690642
156,ERRO,67.300,0.44,15917.100012302399
157,ERRO,75.900,0.44,15913.99998869747
158,ERRO,146.800,0.44,15786.200005095452
159,ERRO,107.100,0.44,15869.900002144277
160,ERRO,65.300,0.44,15897.300036158413
161,ERRO,65.800,0.44,15841.100015677512
162,ERRO,59.800,0.44,15841.399959754199
163,ERRO,62.500,0.44,15989.100036676973
164,ERRO,57.400,0.44,15902.599960099906
165,ERRO,67.000,0.44,15844.09998031333
166,ERRO,62.800,0.44,15890.699985902756
167,ERRO,78.500,0.44,15905.799984466285
168,ERRO,167.400,0.44,15780.099958647043
169,ERRO,68.700,0.44,16381.299996282905
170,ERRO,93.700,0.44,15257.899998687208
171,ERRO,58.000,0.44,15998.099988792092
172,ERRO,74.200,0.44,15850.699972361326
173,ERRO,68.200,0.44,15923.400002066046
174,ERRO,81.800,0.44,15828.399977181107
175,ERRO,78.300,0.44,15910.500020254403
176,ERRO,83.200,0.44,15827.199968043715
177,ERRO,89.600,0.44,15927.000029478222
178,ERRO,86.100,0.44,15838.39999511838
179,ERRO,93.400,0.44,15863.200009334832
180,ERRO,99.400,0.44,15829.900046810508
181,ERRO,93.200,0.44,15875.199984293431
182,ERRO,80.000,0.44,15817.100007552654
183,ERRO,95.200,0.44,15875.29998505488
184,ERRO,102.400,0.44,15880.399965681136
185,ERRO,91.300,0.44,15871.200012043118
186,ERRO,86.900,0.44,15812.899975571781
187,ERRO,115.300,0.44,15838.39999511838
188,ERRO,98.600,0.44,15862.10000095889
189,ERRO,87.900,0.44,15891.100047156215
190,ERRO,91.100,0.44,15882.499981671572
191,ERRO,95.600,0.44,15864.200016949326
192,ERRO,98.000,0.44,15817.6000113599
193,ERRO,103.000,0.44,15824.100002646446
194,ERRO,93.900,0.44,15818.800020497292
195,ERRO,121.100,0.44,15868.899994529784
196,ERRO,94.000,0.44,15796.399966347963
197,ERRO,98.000,0.44,15906.49998979643
198,ERRO,107.100,0.44,15853.699995204806
199,ERRO,93.500,0.44,15822.499990463257
200,ERRO,127.100,0.44,15800.599998328835
201,ERRO,100.100,0.44,15677.999996114522
202,ERRO,118.500,0.44,15691.999986302108
203,ERRO,74.900,0.44,15760.599984787405
204,ERRO,88.600,0.44,15805.299975909293
205,ERRO,75.300,0.44,15874.099975917488
206,ERRO,89.900,0.44,15905.999985989183
207,ERRO,69.200,0.44,15909.60001340136
208,ERRO,205.600,0.44,15616.999997291714
209,ERRO,56.900,0.44,15932.900016196072
210,ERRO,41.600,0.44,15957.599971443415
211,ERRO,48.300,0.44,15964.600024744868
212,ERRO,46.200,0.44,15932.499954942614
213,ERRO,129.900,0.44,15762.099996209145
214,ERRO,73.500,0.44,15887.40001898259
215,ERRO,67.900,0.44,15922.8999982588
216,ERRO,57.300,0.44,15898.299985565245
217,ERRO,50.100,0.44,15926.500025670975
218,ERRO,63.900,0.44,15913.800045382231
219,ERRO,56.100,0.44,15914.499992504716
220,ERRO,75.800,0.44,15861.099993344396
221,ERRO,59.400,0.44,15899.999998509884
222,ERRO,63.700,0.44,15921.39998683706
223,ERRO,59.000,0.44,15927.700034808367
224,ERRO,64.200,0.44,15838.199993595481
225,ERRO,84.500,0.44,15800.799999851733
226,ERRO,59.300,0.44,16022.199997678399
227,ERRO,91.100,0.44,15863.300010096282
228,ERRO,76.300,0.44,15874.700038693845
229,ERRO,71.000,0.44,15872.200019657612
230,ERRO,95.700,0.44,15855.400008149445
231,ERRO,93.100,0.44,15873.500029556453
232,ERRO,67.700,0.44,15905.20003810525
233,ERRO,77.900,0.44,15814.69998927787
234,ERRO,66.400,0.44,16238.200012594461
235,ERRO,57.500,0.44,15787.500014994293
236,ERRO,67.800,0.44,16079.099965281785
237,ERRO,73.000,0.44,15486.599993892014
238,ERRO,70.900,0.44,16296.19998857379
239,ERRO,68.800,0.44,15929.299988783896
240,ERRO,71.200,0.44,15642.000013031065
241,ERRO,103.700,0.44,16044.39999209717
242,ERRO,107.600,0.44,15645.80004196614
243,ERRO,135.300,0.44,15676.100039854646
244,ERRO,81.400,0.44,15862.800006289035
245,ERRO,65.800,0.44,15832.800010684878
246,ERRO,51.400,0.44,15939.199947752059
247,ERRO,54.300,0.44,15986.799960955977
248,ERRO,59.600,0.44,15874.400036409497
249,ERRO,78.400,0.44,16146.900015883148
250,ERRO,72.600,0.44,15965.099970344454
251,ERRO,66.000,0.44,15998.29999031499
252,ERRO,73.800,0.44,15417.199989315122
253,ERRO,68.100,0.44,16263.200028333813
254,ERRO,66.000,0.44,15942.899975925684
255,ERRO,94.500,0.44,15455.400047358125
256,ERRO,71.700,0.44,15902.300016023219
257,ERRO,52.000,0.44,15870.400005951524
258,ERRO,81.800,0.44,16005.099983885884
259,ERRO,187.900,0.44,15625.0
260,ERRO,106.000,0.44,15684.899990446866
261,ERRO,57.800,0.44,16103.59997721389
262,ERRO,184.500,0.44,15569.799987133592
263,ERRO,59.800,0.44,15865.300025325269
264,ERRO,82.100,0.44,15906.49998979643
265,ERRO,91.700,0.44,15870.400005951524
266,ERRO,71.900,0.44,15887.600020505488
267,ERRO,115.900,0.44,15898.699988611042
268,ERRO,141.500,0.44,15661.000041291118
269,ERRO,89.600,0.44,15856.799960602075
270,ERRO,120.000,0.44,15811.299963388592
271,ERRO,120.200,0.44,15908.10000197962
272,ERRO,68.000,0.44,15816.09999993816
273,ERRO,102.500,0.44,15912.199974991381
274,ERRO,131.300,0.44,15758.39996803552
275,ERRO,110.800,0.44,15824.500005692244
276,ERRO,86.800,0.44,15873.299969825894
277,ERRO,77.600,0.44,15905.499982181937
278,ERRO,107.000,0.44,15812.99997633323
279,ERRO,80.300,0.44,15866.60003522411
280,ERRO,107.200,0.44,15831.199998501688
281,ERRO,101.000,0.44,15871.299954596907
282,ERRO,134.600,0.44,15890.699985902756
283,ERRO,144.700,0.44,15698.500035796314
284,ERRO,120.700,0.44,15773.600025568157
285,ERRO,105.400,0.44,15846.700000111014
286,ERRO,115.200,0.44,15817.000006791204
287,ERRO,126.300,0.44,15842.69996965304
288,ERRO,110.800,0.44,15797.700034454465
289,ERRO,109.000,0.44,15853.500051889569
290,ERRO,116.200,0.44,15786.800009664148
291,ERRO,115.400,0.44,15809.300006367266
292,ERRO,109.200,0.44,15866.70003598556
293,ERRO,92.600,0.44,15835.900034289807
294,ERRO,80.900,0.44,15923.300001304597
295,ERRO,129.300,0.44,15739.19999646023
296,ERRO,95.300,0.44,15843.800036236644
297,ERRO,124.500,0.44,15814.899990800768
298,ERRO,140.300,0.44,15743.699972517788
299,ERRO,86.100,0.44,15950.199973303825
300,ERRO,93.000,0.44,15837.899991311133
301,ERRO,137.700,0.44,15627.400018274784
302,ERRO,82.700,0.44,15854.299999773502
303,ERRO,90.100,0.44,15876.399993430823
304,ERRO,114.600,0.44,15860.4999887757
305,ERRO,113.500,0.44,15799.100045114756
306,ERRO,67.400,0.44,15906.299988273531
307,ERRO,101.500,0.44,15902.399958577007
308,ERRO,123.700,0.44,15793.999948073179
309,ERRO,130.500,0.44,15817.50001059845
310,ERRO,130.400,0.44,15818.699961528182
311,ERRO,114.100,0.44,15762.80000153929
312,ERRO,112.500,0.44,15805.099974386394
313,ERRO,101.900,0.44,15849.99996703118
314,ERRO,109.200,0.44,15846.800000872463
315,ERRO,111.200,0.44,15817.70001212135
316,ERRO,119.100,0.44,15812.900033779442
317,ERRO,115.400,0.44,15822.399989701807
318,ERRO,132.500,0.44,15758.900030050427
319,ERRO,86.800,0.44,15975.99999513477
320,ERRO,246.400,0.44,15582.699968945235
321,ERRO,78.400,0.44,15947.100007906556
322,ERRO,101.800,0.44,15746.299992315471
323,ERRO,111.500,0.44,17784.400028176606
324,ERRO,133.500,0.44,13827.199989464134
325,ERRO,158.800,0.44,15734.200016595423
326,ERRO,87.300,0.44,15869.199996814132
327,ERRO,107.500,0.44,15872.50002194196
328,ERRO,82.600,0.44,15813.19997785613
329,ERRO,111.200,0.44,15851.70003818348
330,ERRO,110.000,0.44,15854.500001296401
331,ERRO,107.100,0.44,15782.299975398928
332,ERRO,108.100,0.44,15816.400002222508
333,ERRO,131.100,0.44,15787.399956025183
334,ERRO,100.700,0.44,15919.500030577183
335,ERRO,153.900,0.44,15743.100026156753
336,ERRO,93.500,0.44,15895.299962721765
337,ERRO,110.000,0.44,15788.200020324439
338,ERRO,104.500,0.44,15831.700002308935
339,ERRO,112.900,0.44,15800.399996805936
340,ERRO,82.700,0.44,15890.19998209551
341,ERRO,111.800,0.44,15791.799989528954
342,ERRO,65.000,0.44,15915.099997073412
343,ERRO,97.100,0.44,15833.099954761565
344,ERRO,117.700,0.44,15795.000013895333
345,ERRO,72.700,0.44,15930.29999639839
346,ERRO,107.600,0.44,15864.200016949326
347,ERRO,135.700,0.44,15744.500036817044
348,ERRO,84.500,0.44,15851.099975407124
349,ERRO,106.700,0.44,15835.800033528358
350,ERRO,116.900,0.44,15850.40002828464
351,ERRO,119.600,0.44,15999.80000173673
352,ERRO,115.100,0.44,15636.600030120462
353,ERRO,113.700,0.44,15780.200017616153
354,ERRO,76.200,0.44,15873.599972110242
355,ERRO,107.600,0.44,15864.800021518022
356,ERRO,86.400,0.44,15821.099979802966
357,ERRO,79.400,0.44,15926.700027193874
358,ERRO,139.300,0.44,15734.100015833974
359,ERRO,118.300,0.44,15832.800010684878
360,ERRO,115.800,0.44,15825.200011022389
361,ERRO,96.300,0.44,15833.800018299371
362,ERRO,74.600,0.44,15894.900017883629
363,ERRO,72.100,0.44,15894.60001559928
364,ERRO,125.600,0.44,15840.500011108816
365,ERRO,127.400,0.44,15769.599995110184
366,ERRO,149.200,0.44,15761.399990879
367,ERRO,116.700,0.44,15841.800021007657
368,ERRO,116.100,0.44,15813.800040632486
369,ERRO,112.700,0.44,15809.99995348975
370,ERRO,110.400,0.44,15833.800018299371
371,ERRO,98.900,0.44,15844.800043851137
372,ERRO,130.800,0.44,15865.400026086718
373,ERRO,103.300,0.44,15757.400018628687
374,ERRO,86.400,0.44,15848.799957893789
375,ERRO,123.900,0.44,15829.099982511252
376,ERRO,77.700,0.44,15866.39997549355
377,ERRO,81.700,0.44,15905.799984466285
378,ERRO,131.100,0.44,15800.900000613183
379,ERRO,130.900,0.44,15836.299979127944
380,ERRO,143.100,0.44,15743.100026156753
381,ERRO,104.000,0.44,15856.000012718141
382,ERRO,103.300,0.44,15812.000026926398
383,ERRO,85.100,0.44,15867.89998691529
384,ERRO,118.000,0.44,15815.900056622922
385,ERRO,101.500,0.44,17243.299982510507
386,ERRO,133.100,0.44,14411.000011023134
387,ERRO,80.000,0.44,15895.100019406527
