bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,10775.400,0.44,10030.40000796318
1,OK,74.100,0.44,16156.200028490275
2,OK,154.400,0.44,15554.299985524267
3,OK,147.300,0.44,15519.000007770956
4,OK,76.000,0.44,15881.100029218942
5,OK,87.500,0.44,15893.400006461889
6,OK,82.600,0.44,15913.99998869747
7,OK,83.600,0.44,15910.9000233002
8,OK,75.100,0.44,15829.899988602847
9,OK,71.500,0.44,15894.299955107272
10,OK,64.400,0.44,16024.400014430285
11,OK,124.800,0.44,15743.699972517788
12,OK,96.500,0.44,15885.90000756085
13,OK,218.100,0.44,15593.699994497001
14,OK,95.300,0.44,15905.399981420487
15,OK,70.000,0.44,15886.800014413893
16,OK,64.700,0.44,15905.300038866699
17,OK,68.300,0.44,15893.500007223338
18,OK,78.000,0.44,15885.8000067994
19,OK,78.000,0.44,15838.499995879829
20,OK,107.400,0.44,15795.000013895333
21,OK,90.000,0.44,15850.40002828464
22,OK,110.700,0.44,15889.099973719567
23,OK,91.800,0.44,15803.700021933764
24,OK,108.300,0.44,15860.099985729903
25,OK,109.000,0.44,15819.000022020191
26,OK,100.100,0.44,15849.400020670146
27,OK,87.300,0.44,15874.199976678938
28,OK,87.000,0.44,15863.000007811934
29,OK,102.500,0.44,15823.900001123548
30,OK,80.500,0.44,15856.599959079176
31,OK,71.500,0.44,15889.100031927228
32,OK,92.100,0.44,15858.099970500916
33,OK,83.600,0.44,15888.100024312735
34,OK,94.400,0.44,15872.199961449951
35,OK,104.100,0.44,15850.699972361326
36,OK,106.300,0.44,15865.500026848167
37,OK,97.200,0.44,15847.500006202608
38,OK,98.800,0.44,15859.500039368868
39,OK,97.100,0.44,15867.500042077154
40,OK,113.200,0.44,15813.000034540892
41,OK,95.900,0.44,15851.299976930022
42,OK,103.300,0.44,15848.300012294203
43,OK,101.700,0.44,15805.499977432191
44,OK,90.300,0.44,15938.800002913922
45,OK,94.400,0.44,15800.199995283037
46,OK,86.000,0.44,15800.199995283037
47,OK,40.800,0.44,15980.900032445788
48,OK,97.000,0.44,15848.80001610145
49,OK,106.200,0.44,15956.299961544573
50,OK,140.300,0.44,15973.500034306198
51,OK,229.900,0.44,15385.300037451088
52,OK,78.900,0.44,15899.500052910298
53,OK,80.000,0.44,15842.899971175939
54,OK,52.700,0.44,15938.199998345226
55,OK,70.800,0.44,15889.599977526814
56,OK,58.900,0.44,15980.799973476678
57,OK,63.400,0.44,15892.099996563047
58,OK,60.200,0.44,15913.199982605875
59,OK,64.600,0.44,15902.399958577007
60,OK,65.500,0.44,15898.799989372492
61,OK,73.400,0.44,15895.499964244664
62,OK,70.400,0.44,15922.999999020249
63,OK,69.500,0.44,15823.5999988392
64,OK,93.000,0.44,15836.200036574155
65,OK,53.300,0.44,15860.59998953715
66,OK,54.500,0.44,15939.00000443682
67,OK,52.200,0.44,15918.899967800826
68,OK,60.900,0.44,15857.799968216568
69,OK,69.500,0.44,15924.800012726337
70,OK,72.200,0.44,15893.999952822924
71,OK,104.200,0.44,15864.800021518022
72,OK,96.500,0.44,15879.700018558651
73,OK,128.000,0.44,15771.200007293373
74,OK,81.700,0.44,15864.600019995123
75,OK,118.100,0.44,15917.900018393993
76,OK,113.300,0.44,15730.599989183247
77,OK,114.300,0.44,15818.599960766733
78,OK,105.200,0.44,15844.699984882027
79,OK,88.500,0.44,15880.599967204034
80,OK,84.100,0.44,15883.999993093312
