bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,60867.800,0.0,2992.1000241301954
1,OK,132.100,0.44,15306.50001950562
2,OK,74.700,0.44,15868.399990722537
3,OK,91.500,0.44,15850.09996779263
4,OK,83.000,0.44,15881.699975579977
5,OK,118.600,0.44,15876.700053922832
6,OK,174.900,0.44,15746.699995361269
7,OK,175.400,0.44,15616.19999120012
8,OK,75.000,0.44,15869.599999859929
9,OK,57.200,0.44,15901.700011454523
10,OK,48.300,0.44,15943.59998125583
11,OK,58.000,0.44,15950.400033034384
12,OK,45.800,0.44,15997.299982700497
13,OK,55.000,0.44,15897.100034635514
14,ERRO,51.700,0.44,15918.700024485588
15,OK,55.600,0.44,15958.699979819357
16,OK,208.900,0.44,15676.300041377544
17,OK,76.100,0.44,15853.399992920458
18,OK,110.000,0.44,15888.999972958118
19,OK,80.400,0.44,15861.599997151643
20,OK,73.700,0.44,15811.8000254035
21,OK,122.200,0.44,15839.200001209974
22,OK,74.600,0.44,15867.400041315705
23,OK,61.900,0.44,15922.999999020249
24,OK,129.600,0.44,15735.000022687018
25,OK,82.000,0.44,15906.59999055788
26,OK,83.000,0.44,15863.300010096282
27,OK,75.700,0.44,15929.299988783896
28,OK,56.400,0.44,15854.7000028193
29,OK,64.800,0.44,15864.699962548912
30,OK,51.100,0.44,15945.499995723367
31,OK,65.200,0.44,15842.400025576353
32,OK,63.300,0.44,15928.000037092716
33,OK,52.700,0.44,15922.8999982588
34,OK,60.800,0.44,16260.39994880557
35,OK,56.200,0.44,15566.100017167628
36,OK,57.100,0.44,15892.099996563047
37,OK,60.300,0.44,16535.300004761666
38,OK,52.400,0.44,15742.700023110956
39,OK,53.600,0.44,15429.000020958483
40,OK,53.500,0.44,16072.100028395653
41,OK,66.600,0.44,15812.600031495094
42,OK,67.700,0.44,16138.399951159954
43,OK,77.200,0.44,15702.899952884763
44,OK,75.600,0.44,16157.199977897108
45,OK,81.000,0.44,15972.500026691705
46,OK,109.000,0.44,15857.60002490133
47,OK,148.100,0.44,15483.399969525635
48,OK,148.700,0.44,15899.699996225536
49,OK,257.400,0.44,15485.299983993173
50,OK,103.400,0.44,15809.800010174513
51,OK,87.400,0.44,15861.799998674542
52,OK,135.400,0.44,15618.400007952005
53,OK,75.800,0.44,15954.600006807595
54,OK,56.600,0.44,15800.399996805936
55,OK,69.500,0.44,16025.900025852025
56,OK,91.800,0.44,15820.199972949922
57,OK,108.100,0.44,15850.299969315529
58,OK,98.900,0.44,15828.999981749803
59,OK,68.300,0.44,15876.099991146475
60,OK,57.300,0.44,15893.30000570044
61,OK,76.600,0.44,15909.200010355562
62,OK,60.700,0.44,15936.400042846799
63,OK,59.200,0.44,15930.09999487549
64,OK,75.900,0.44,15866.999980062246
65,OK,62.800,0.44,15863.100008573383
66,OK,113.100,0.44,15824.100002646446
67,OK,154.800,0.44,16194.099967833608
68,OK,112.300,0.44,15486.999996937811
69,OK,123.900,0.44,15763.200004585087
70,OK,107.700,0.44,15838.499995879829
71,OK,106.600,0.44,15880.299964919686
72,OK,103.300,0.44,15833.199955523014
73,OK,109.400,0.44,15807.40005010739
74,OK,142.800,0.44,15771.70001110062
75,ERRO,112.700,0.44,16093.999962322414
76,OK,116.200,0.44,15575.900033582002
77,OK,111.700,0.44,15831.299999263138
78,OK,114.300,0.44,15835.799975320697
79,OK,137.500,0.44,15759.099973365664
80,OK,91.700,0.44,15849.899966269732
81,OK,89.000,0.44,15872.40002118051
82,OK,99.400,0.44,15868.099988438189
83,OK,87.700,0.44,15901.699953246862
84,OK,61.800,0.44,15929.799992591143
85,OK,63.700,0.44,15879.700018558651
86,ERRO,53.700,0.44,15970.10000841692
87,OK,49.100,0.44,15864.99996483326
88,OK,56.200,0.44,15918.900026008487
89,OK,55.900,0.44,15921.29998607561
90,OK,57.600,0.44,15885.400003753603
91,OK,53.200,0.44,15939.500008244067
92,OK,56.800,0.44,15861.499996390194
93,OK,61.000,0.44,15976.700000464916
94,OK,74.600,0.44,15820.500033441931
95,OK,74.500,0.44,15954.299946315587
96,OK,61.100,0.44,15942.699974402785
97,ERRO,75.200,0.44,15878.40000865981
98,OK,71.100,0.44,15879.90002008155
99,OK,69.600,0.44,15854.900004342198
100,OK,115.600,0.44,15900.300000794232
101,OK,100.800,0.44,15685.099991969764
102,OK,75.500,0.44,15833.099954761565
103,OK,96.900,0.44,15900.60000307858
104,OK,71.600,0.44,15868.599992245436
105,OK,60.400,0.44,15888.099966105074
106,OK,69.300,0.44,16071.800026111305
107,OK,117.200,0.44,15636.399970389903
108,OK,95.500,0.44,15844.30004004389
109,OK,86.700,0.44,15929.799992591143
110,OK,72.100,0.44,15855.200006626546
111,OK,48.800,0.44,15960.699995048344
112,OK,66.200,0.44,15870.000002905726
113,OK,57.500,0.44,15864.600019995123
114,OK,56.700,0.44,15943.799982778728
115,OK,69.200,0.44,15919.599973130971
116,OK,54.500,0.44,15890.899987425655
117,OK,57.100,0.44,15902.300016023219
118,OK,63.900,0.44,15949.40002541989
119,OK,68.800,0.44,15903.699968475848
120,OK,99.700,0.44,15908.700006548315
121,OK,62.900,0.44,15757.199958898127
122,OK,65.700,0.44,15964.30002246052
123,OK,68.400,0.44,15850.20002676174
124,OK,68.400,0.44,15851.300035137683
125,OK,67.800,0.44,16011.499974410981
126,OK,64.100,0.44,15906.49998979643
127,OK,70.000,0.44,15888.80002964288
128,OK,71.100,0.44,15891.7999942787
129,OK,108.300,0.44,15748.600009828806
130,OK,97.800,0.44,15946.700004860759
131,OK,72.300,0.44,15890.20004030317
132,OK,71.300,0.44,15884.29999537766
133,OK,72.500,0.44,15892.700001131743
134,OK,76.300,0.44,15898.799989372492
135,OK,86.100,0.44,15887.20001745969
136,OK,70.000,0.44,15890.600043348968
137,OK,79.800,0.44,15853.19999139756
138,OK,95.900,0.44,15851.199976168573
139,OK,79.500,0.44,15886.000008322299
140,OK,86.000,0.44,15866.200032178313
141,OK,84.000,0.44,15837.599989026785
142,OK,63.800,0.44,15897.300036158413
143,OK,77.900,0.44,15883.299987763166
144,OK,68.500,0.44,15907.90000045672
145,OK,62.000,0.44,15943.800040986389
146,OK,60.100,0.44,15869.199996814132
147,OK,61.000,0.44,15926.500025670975
148,OK,111.800,0.44,15866.699977777898
149,OK,68.500,0.44,15831.700002308935
150,OK,75.100,0.44,15850.699972361326
151,OK,75.700,0.44,15902.499959338456
152,OK,70.500,0.44,15895.399963483214
153,OK,83.800,0.44,15869.49999909848
154,ERRO,86.500,0.44,15868.499991483986
155,OK,71.800,0.44,15947.400010190904
156,OK,75.100,0.44,15815.499995369464
157,OK,74.300,0.44,15959.199983626604
158,OK,82.800,0.44,15891.099988948554
159,OK,86.100,0.44,15859.10003632307
160,OK,64.400,0.44,15893.400006461889
161,OK,82.800,0.44,15851.399977691472
162,OK,100.700,0.44,15815.399994608015
163,OK,97.400,0.44,15960.999997332692
164,OK,163.800,0.44,15750.599966850132
165,OK,68.000,0.44,15885.000000707805
166,OK,70.000,0.44,15896.799974143505
167,OK,74.100,0.44,15889.799979049712
168,OK,75.100,0.44,15892.299998085946
169,OK,197.700,0.44,15616.19999120012
170,OK,57.300,0.44,15930.399997159839
171,OK,80.400,0.44,15869.299997575581
172,ERRO,57.400,0.44,15895.499964244664
173,OK,53.100,0.44,15973.699977621436
174,OK,57.900,0.44,15884.699998423457
175,OK,54.300,0.44,15911.600028630346
176,OK,76.900,0.44,15853.799995966256
177,OK,55.900,0.44,15936.2000413239
178,OK,70.500,0.44,15865.599969401956
179,OK,107.100,0.44,15919.89997541532
180,OK,67.000,0.44,15863.999957218766
181,OK,57.700,0.44,15925.90002110228
182,OK,60.200,0.44,15905.399981420487
183,OK,61.600,0.44,15902.00001373887
184,OK,60.700,0.44,15910.000016447157
185,OK,58.400,0.44,15869.900002144277
186,OK,37.800,0.44,15958.800038788468
187,OK,48.200,0.44,15922.199992928654
188,OK,39.700,0.44,15930.399997159839
189,OK,52.700,0.44,16032.29995816946
190,OK,109.900,0.44,15648.500004317611
191,OK,56.600,0.44,15927.29997355491
192,OK,69.300,0.44,15992.800006642938
193,OK,51.300,0.44,15901.000006124377
194,OK,61.800,0.44,15865.799970924854
195,OK,50.600,0.44,15878.900012467057
196,OK,51.300,0.44,16035.899985581636
197,OK,84.000,0.44,15870.100003667176
198,OK,57.300,0.44,15949.100023135543
199,OK,69.200,0.44,15785.399999003857
200,OK,65.900,0.44,16023.50000757724
201,OK,83.000,0.44,15707.399987149984
202,OK,91.900,0.44,15864.800021518022
203,OK,72.400,0.44,15846.800000872463
204,OK,66.500,0.44,15916.600008495152
205,OK,125.200,0.44,15797.100029885769
