bloco,status,tempo_python_us,tempo_fpga_us,rtt_total_us
0,OK,22474.200,0.44,6086.000008508563
1,OK,388.200,0.44,13951.59999083262
2,OK,191.800,0.44,25091.000003158115
3,OK,201.000,0.44,12007.80000363011
4,OK,197.400,0.44,14319.499998237006
5,OK,211.600,0.44,10977.300000377
6,OK,56.300,0.44,15910.400004941039
7,OK,74.200,0.44,15841.200001887046
8,OK,89.300,0.44,16017.200003261678
9,OK,79.400,0.44,15771.799997310154
10,OK,61.500,0.44,15961.40000037849
11,OK,76.200,0.44,15824.500005692244
12,OK,65.500,0.44,16111.79999599699
13,OK,75.900,0.44,15713.500004494563
14,OK,82.000,0.44,15915.199997834861
15,OK,79.300,0.44,15847.499991650693
16,OK,97.300,0.44,16134.60000953637
17,OK,89.000,0.44,15565.70001412183
18,OK,76.500,0.44,17830.400000093505
19,OK,171.100,0.44,14301.99999595061
20,OK,177.300,0.44,16932.000013184734
21,OK,191.300,0.44,13668.400002643466
22,OK,113.200,0.44,15912.600007141009
23,OK,51.500,0.44,15799.89999299869
24,OK,51.900,0.44,15989.299994544126
25,OK,54.700,0.44,15813.800011528656
26,OK,56.500,0.44,16009.900005883537
27,OK,63.600,0.44,15721.699994173832
28,OK,84.900,0.44,15977.399991243146
29,OK,93.500,0.44,15888.199995970353
30,OK,95.500,0.44,15932.700000121258
31,OK,135.200,0.44,15748.79999679979
32,OK,197.900,0.44,15700.500007369556
33,OK,157.000,0.44,15923.099999781698
34,OK,198.200,0.44,22027.300001354888
35,OK,172.500,0.44,9327.29999476578
36,OK,375.200,0.44,15076.200012117624
37,OK,57.700,0.44,15828.400006284937
38,OK,64.300,0.44,15909.299996565096
39,OK,72.800,0.44,15814.900005352683
40,OK,55.600,0.44,15903.49999605678
41,OK,48.800,0.44,15950.500004692003
42,OK,46.300,0.44,16255.800001090392
43,OK,73.100,0.44,15612.099989084527
44,OK,61.200,0.44,15803.699992829934
45,OK,55.900,0.44,16278.200011583976
46,OK,56.500,0.44,15622.399994754232
47,OK,54.300,0.44,16102.09999489598
48,OK,57.000,0.44,15887.399989878759
49,OK,55.300,0.44,16679.600012139417
50,OK,155.800,0.44,17644.699997617863
51,OK,215.800,0.44,15027.10000204388
52,OK,188.000,0.44,13297.600002260879
53,OK,83.200,0.44,15773.399994941428
54,OK,85.400,0.44,15897.500008577481
55,OK,52.400,0.44,16008.299993700348
56,OK,67.900,0.44,16008.399994461797
57,OK,64.600,0.44,15702.89999654051
58,OK,70.900,0.44,15913.19999715779
59,OK,82.700,0.44,16238.099997281097
60,OK,137.500,0.44,15840.399995795451
61,OK,144.700,0.44,15586.49999788031
62,OK,159.600,0.44,15906.300002825446
63,OK,167.000,0.44,15429.39999490045
64,OK,154.000,0.44,15860.899991821498
65,OK,159.900,0.44,17349.399990052916
66,OK,297.600,0.44,13677.49999917578
67,OK,157.700,0.44,15594.199998304248
68,OK,80.400,0.44,15900.099999271333
69,OK,65.100,0.44,15885.999993770383
70,OK,93.100,0.44,15860.699990298599
71,OK,81.300,0.44,15954.899994540028
72,OK,87.500,0.44,15744.499993161298
73,OK,59.200,0.44,15971.79999225773
74,OK,120.100,0.44,15724.700002465397
75,OK,67.100,0.44,15966.39999479521
76,OK,166.600,0.44,15675.000002374873
77,OK,75.300,0.44,15856.600002734922
78,OK,88.300,0.44,15770.900005009025
79,OK,85.200,0.44,15856.700003496371
80,OK,129.700,0.44,22941.600007470697
81,OK,149.600,0.44,9193.200006848201
82,OK,164.600,0.44,18920.10000301525
83,OK,191.300,0.44,11677.90000909008
84,OK,82.600,0.44,16141.100000822917
85,OK,63.700,0.44,15750.79999747686
86,OK,60.100,0.44,15879.900005529635
87,OK,65.500,0.44,15889.700007392094
88,OK,62.400,0.44,16171.80000175722
89,OK,75.600,0.44,15850.000010686927
90,OK,83.300,0.44,15859.600011026487
91,OK,82.500,0.44,15605.10000854265
92,OK,90.500,0.44,15959.500000462867
93,OK,129.800,0.44,15665.899991290644
94,OK,186.900,0.44,15769.699995871633
95,OK,106.900,0.44,15842.79999951832
96,OK,72.800,0.44,19046.30000353791
97,OK,164.600,0.44,12563.799988129176
98,OK,185.700,0.44,15463.100004126318
99,OK,57.200,0.44,15939.7999959765
100,OK,72.100,0.44,16067.799995653331
101,OK,100.200,0.44,15376.399998785928
102,OK,56.600,0.44,15981.29999183584
103,OK,60.900,0.44,15910.400004941039
104,OK,58.100,0.44,15977.199989720248
105,OK,87.100,0.44,15939.999997499399
106,OK,112.200,0.44,16028.499987442046
107,OK,215.200,0.44,15520.900007686578
108,OK,110.000,0.44,15701.800002716482
109,OK,112.600,0.44,16291.199994157068
110,OK,268.300,0.44,15199.800007394515
111,OK,188.700,0.44,16073.2999938773
112,OK,296.000,0.44,31065.799994394183
113,OK,173.800,0.44,15887.000001384877
114,OK,173.200,0.44,15512.500001932494
115,OK,71.600,0.44,15860.300001804717
116,OK,83.300,0.44,15911.400012555532
117,OK,95.700,0.44,15951.00000849925
118,OK,82.500,0.44,15872.500007390045
119,OK,131.900,0.44,15586.699999403208
120,OK,157.300,0.44,15684.800004237331
121,OK,92.100,0.44,16185.70000573527
122,OK,158.000,0.44,15425.999998115003
123,OK,187.600,0.44,15948.80000629928
124,OK,151.300,0.44,15519.299995503388
125,OK,150.200,0.44,15823.699999600649
126,OK,164.400,0.44,28381.700001773424
127,OK,194.400,0.44,5083.799987914972
128,OK,221.400,0.44,15841.100001125596
129,OK,165.800,0.44,12975.699995877221
130,OK,83.000,0.44,15897.100005531684
131,OK,71.700,0.44,16071.60001003649
132,OK,71.800,0.44,15784.199989866465
133,OK,84.400,0.44,15788.000004249625
134,OK,80.500,0.44,15846.199996303767
135,OK,80.900,0.44,15859.399994951673
136,OK,108.800,0.44,16155.199991771951
137,OK,136.800,0.44,15500.499997870065
138,OK,137.200,0.44,15793.600003235042
139,OK,131.300,0.44,15810.000011697412
140,OK,141.300,0.44,15587.300003971905
141,OK,74.600,0.44,15885.100001469254
142,OK,64.800,0.44,22428.900003433228
143,OK,197.800,0.44,9418.499990715645
144,OK,262.900,0.44,15289.600007236004
145,OK,65.300,0.44,15817.200008314103
146,OK,67.300,0.44,16034.00000021793
